event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,MARGIN,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612742460000000000,BINANCE-001,MARGIN,USDT,9990.01574018,249.60649550,9740.40924468,False
2,1612771200001000000,BINANCE-001,MARGIN,USDT,9984.16821160,249.60649550,9734.56171610,True
3,1612771200001000000,BINANCE-001,MARGIN,USDT,9984.16821160,249.60649550,9734.56171610,False
4,1612800000000000000,BINANCE-001,MARGIN,USDT,9956.15769514,249.60649550,9706.55119964,True
5,1612800000000000000,BINANCE-001,MARGIN,USDT,9956.15769514,249.60649550,9706.55119964,False
6,1612828800010000000,BINANCE-001,MARGIN,USDT,9940.51606767,249.60649550,9690.90957217,True
7,1612828800010000000,BINANCE-001,MARGIN,USDT,9940.51606767,249.60649550,9690.90957217,False
8,1612857600006000000,BINANCE-001,MARGIN,USDT,9917.68059083,249.60649550,9668.07409533,True
9,1612857600006000000,BINANCE-001,MARGIN,USDT,9917.68059083,249.60649550,9668.07409533,False
10,1612886400007000000,BINANCE-001,MARGIN,USDT,9898.27333579,249.60649550,9648.66684029,True
11,1612886400007000000,BINANCE-001,MARGIN,USDT,9898.27333579,249.60649550,9648.66684029,False
12,1612915200009000000,BINANCE-001,MARGIN,USDT,9883.41231772,249.60649550,9633.80582222,True
13,1612915200009000000,BINANCE-001,MARGIN,USDT,9883.41231772,249.60649550,9633.80582222,False
14,1612944000014000000,BINANCE-001,MARGIN,USDT,9862.37775676,249.60649550,9612.77126126,True
15,1612944000014000000,BINANCE-001,MARGIN,USDT,9862.37775676,249.60649550,9612.77126126,False
16,1612972800005000000,BINANCE-001,MARGIN,USDT,9849.56283107,249.60649550,9599.95633557,True
17,1612972800005000000,BINANCE-001,MARGIN,USDT,9849.56283107,249.60649550,9599.95633557,False
18,1613001600000000000,BINANCE-001,MARGIN,USDT,9840.71435683,249.60649550,9591.10786133,True
19,1613001600000000000,BINANCE-001,MARGIN,USDT,9840.71435683,249.60649550,9591.10786133,False
