fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,3db73b45-2dd7-4dab-aae5-9cbffea6882d,O-20210208-000000-001-140726588297760-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,b305b861-5bdd-4c7a-895b-2488f6c2fddf,O-20210215-000000-001-140726588297760-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,117592a6-e768-41e2-bb1e-49d9ce23a483,O-20210222-000000-001-140726588297760-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,73e34909-50f8-45f8-b87d-8f3bcbdfd0d0,O-20210301-000000-001-140726588297760-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,f667d75b-f3ec-43b0-8be7-55c9be72e5c0,O-20210308-000000-001-140726588297760-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,62d48b51-2164-42db-8ddb-cf1af63fa2d9,O-20210315-000000-001-140726588297760-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,f0842dd1-10c4-465a-a2a1-7e7a0212539f,O-20210322-000000-001-140726588297760-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,189ff969-609c-49ea-8a01-c82b1cbab2e0,O-20210322-000100-001-140726588297760-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,d54dba4b-1dd0-45fb-b2f1-a30e4faa1e07,O-20210329-000000-001-140726588297760-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,406a9a75-db72-40a4-aa33-d5bd8cb4b16d,O-20210329-000100-001-140726588297760-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140726588297760,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
