adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-5.84752858 USDT,,funding_settlement:b7c6a9b1-943b-4293-8406-0e46de4f7a7f,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-28.01051646 USDT,,funding_settlement:cc2408ea-fb9c-427d-a4d6-06262765702c,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.64162747 USDT,,funding_settlement:10b3a762-9fdc-499d-aeb3-8b69084706ad,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.83547684 USDT,,funding_settlement:11d77488-6c5a-46b0-ac85-4910a5bcc37c,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.40725504 USDT,,funding_settlement:1f3953ad-ed8a-4b7a-8ecc-e0666f7963d2,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.86101807 USDT,,funding_settlement:0e149156-cf36-4440-bedc-cf89d103b267,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.03456096 USDT,,funding_settlement:124e78af-adf5-4bc7-8001-4de277bd5851,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.81492569 USDT,,funding_settlement:82389319-6063-4892-ae55-c5a5f01aa7cf,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.84847424 USDT,,funding_settlement:1de03f9b-ac6f-49ca-add8-e004471358e4,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.55584424 USDT,,funding_settlement:e709b547-c5c6-4732-b536-dec0312754fa,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.51336086 USDT,,funding_settlement:8ef4094a-04f1-414a-bd6c-4dad95080a90,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.90880133 USDT,,funding_settlement:d7077996-eee4-4c18-b1a1-b9d86671fa24,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.30149633 USDT,,funding_settlement:df26490b-36fa-4944-8068-4820f9859cf8,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.76471322 USDT,,funding_settlement:09b3b914-da5b-480b-9b57-afabb9ed7d34,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.04738213 USDT,,funding_settlement:4a4ee8c2-2521-4a2e-b2f6-86904462fe92,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.12093878 USDT,,funding_settlement:1bb4b717-f35e-428f-96c1-f2512e25176f,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-9.19894555 USDT,,funding_settlement:05eb4ebd-0b37-4223-aaf8-bcb98b30f4fc,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.32139033 USDT,,funding_settlement:95fbc3ca-731b-4c1b-9637-e2ca06d86acc,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.34365098 USDT,,funding_settlement:fe208e40-e056-4548-a8b3-293484dc3476,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.68863196 USDT,,funding_settlement:0dc4d61c-e15b-4720-94c4-b751fd5efda7,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.74284230 USDT,,funding_settlement:52c06dfb-f51f-4bfc-b723-c494c76ba9c6,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.80184430 USDT,,funding_settlement:c25d91ab-3617-4371-b2ce-fcd7a9ad3821,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.17512367 USDT,,funding_settlement:f3b860de-927d-4baf-b0d9-c312a84b848c,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.94712458 USDT,,funding_settlement:508919eb-05e7-4fa4-85f7-693f8850a7b7,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-15.20184112 USDT,,funding_settlement:02d71a1f-1d13-451f-830f-7b27f406df21,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.38478435 USDT,,funding_settlement:a8388376-36fb-44a7-af80-957b92b1a196,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.80577919 USDT,,funding_settlement:9955caf3-654b-4dd7-9de4-2f8a7a1bbb0d,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.95468537 USDT,,funding_settlement:3b7a39cc-2e27-4dc8-a6f8-caddbf04a81c,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.83810719 USDT,,funding_settlement:c3ed35f0-9bcd-467e-a1f8-4e409571af19,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.25671244 USDT,,funding_settlement:f0208f71-49aa-4cfb-bc27-e44ebe6972e5,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-20.06496805 USDT,,funding_settlement:b80d29d9-00c9-4f20-ac1f-c96fd64493a7,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.25184734 USDT,,funding_settlement:52bd9bf9-7eee-4aa4-b849-0fea02177f7e,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.77421516 USDT,,funding_settlement:43279840-2290-4819-b434-d5a02ccbab40,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.95209299 USDT,,funding_settlement:1a06b060-bd27-49cd-b951-0d390e408eb3,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.36641227 USDT,,funding_settlement:00cda7f7-6f7f-4ae2-94c0-890f7d0f83b1,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-21.87788054 USDT,,funding_settlement:d8581618-a780-42f2-af20-9d27fbfaea10,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.10178130 USDT,,funding_settlement:9c0a7319-6a7a-46df-9a49-4b73b91e2051,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.21539553 USDT,,funding_settlement:b33ff4ca-d119-4d87-99b2-e36e9c5fb0b2,1613836800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.03405836 USDT,,funding_settlement:3d903ccb-102a-4a7b-b83a-2a1b62e06607,1613865600007000000
FUNDING,BTCUSDT-PERP.BINANCE,-13.89874525 USDT,,funding_settlement:e8589517-6c06-417f-937d-c25d06426550,1613894400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.05198121 USDT,,funding_settlement:f3a37b4d-5404-4d07-958b-af9984846731,1613923200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-16.81701508 USDT,,funding_settlement:4c9c3538-144e-4454-bea7-1c37dab09447,1613952000006000000
