fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,84d1d19e-56f0-44d1-abee-a542b80d9334,O-20210208-000000-001-140728094455584-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.257,38849.26000000,9.98425982 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,5e9ac013-a1fe-4094-83a5-ffc745e676cb,O-20210215-000000-001-140728094455584-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.007,48655.20000000,0.34058640 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,6e8d2292-5ec5-42c4-9638-ab8a0f393e61,O-20210222-000000-001-140728094455584-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,57487.42000000,0.28743710 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,4d2b5cdb-12e7-48ee-b9ad-a0d08695624b,O-20210301-000000-001-140728094455584-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,fef10a9e-707d-4233-9cb4-f8250515d1a3,O-20210308-000000-001-140728094455584-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,7e7e404d-16f5-4840-b4f6-1915d1b5a98d,O-20210315-000000-001-140728094455584-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,59037.11000000,0.17711133 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,69ab39f9-c34b-4b7b-95b7-edc3d9cb684e,O-20210322-000000-001-140728094455584-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,57415.17000000,13.72222563 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,19b7f3b8-6254-45ef-897d-df48ac899c38,O-20210322-000100-001-140728094455584-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.237,57449.36000000,13.61549832 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,3461b235-c70f-4e8b-8131-17d60db1cb43,O-20210329-000000-001-140728094455584-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.237,55805.09000000,13.22580633 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,e89c4e80-dfa2-414a-9f8d-e1bc8923dfcd,O-20210329-000100-001-140728094455584-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.251,55857.04000000,14.02011704 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
10,937f4b16-cabb-4cba-961b-31e769cea61e,O-20210405-000000-001-140728094455584-11,BINANCE-1-11,T-7bab3a5fc888d8ab-483029,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,58234.60000000,0.23293840 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
11,040df1f9-23cb-4e26-95f8-9e6f75e52bf3,O-20210412-000000-001-140728094455584-12,BINANCE-1-12,T-8306f8f8f7e67219-518214,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.003,60090.19000000,0.18027057 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
12,c5f60c84-693d-4a50-9ecb-186990a94ca1,O-20210419-000000-001-140728094455584-13,BINANCE-1-13,T-7d19d7b10f0e7d93-553728,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.244,56140.04000000,13.69816976 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
13,d4d0b0c3-38c4-4431-8a65-7bdf4bfceec0,O-20210419-000100-001-140728094455584-14,BINANCE-1-14,T-78190bb18f0ea15c-553732,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.239,56236.47000000,13.44051633 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
14,aeab8cfd-e1fb-4940-b5d9-6e306a967d05,O-20210426-000000-001-140728094455584-15,BINANCE-1-15,T-06eea41d47eb061b-589625,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.070,49063.93000000,3.43447510 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
15,b6233092-ed24-4fbe-88f8-0084c45dce90,O-20210503-000000-001-140728094455584-16,BINANCE-1-16,T-a2573f3f94e11b73-625049,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.082,56630.34000000,4.64368788 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
16,1875fe4f-f776-476c-9331-34fb7fbc5bac,O-20210510-000000-001-140728094455584-17,BINANCE-1-17,T-ce24f27a7af93303-660195,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.010,58292.54000000,0.58292540 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
17,2cd51987-245f-4993-87ed-cee07a3ac763,O-20210517-000000-001-140728094455584-18,BINANCE-1-18,T-2213e5468ee6d2cb-695778,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.112,46429.27000000,5.20007824 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
18,d6842df4-ba14-48c4-80c1-aaedca93f692,O-20210524-000000-001-140728094455584-19,BINANCE-1-19,T-c3d455e8b7c4a20b-732402,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.225,34651.59000000,7.79660775 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
19,94dd549c-3b86-41d9-a2e4-ee70a728983a,O-20210531-000000-001-140728094455584-20,BINANCE-1-20,T-e3cf944dd53a0b20-768686,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.031,35651.82000000,1.10520642 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
20,ca42e152-10e0-40d1-af41-836b7e12be2c,O-20210607-000000-001-140728094455584-21,BINANCE-1-21,T-0d30a68c30e2e9b1-804450,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35801.72000000,0.10740516 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
21,7757ee99-fb68-45b9-90f5-aed8acfb306e,O-20210614-000000-001-140728094455584-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.085,38993.66000000,3.31446110 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,0b4f9b79-57b3-4ab8-a29b-5524e278dcb6,O-20210621-000000-001-140728094455584-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.435,35588.65000000,15.48106275 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,a4dabeb0-b8b9-4a22-81c2-97139e01fc3f,O-20210621-000100-001-140728094455584-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.519,35570.49000000,18.46108431 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
24,c3c4bd46-5a07-48c6-a84d-12c2a3fa35f2,O-20210628-000000-001-140728094455584-25,BINANCE-1-25,T-102ebecf4ba529a3-910953,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34687.70000000,18.00291630 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
25,6ff4ee05-2edd-4b7c-beb3-57ec59a38c6b,O-20210628-000100-001-140728094455584-26,BINANCE-1-26,T-4808b99cf0348c4d-910957,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.519,34572.76000000,17.94326244 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
26,055aa169-7801-468e-8c1c-4aebeb262bcf,O-20210705-000000-001-140728094455584-27,BINANCE-1-27,T-7e947ef2b4da6a48-946146,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.019,35280.17000000,0.67032323 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
27,b3a02720-3403-4829-a2e9-b8d163bec2d2,O-20210712-000000-001-140728094455584-28,BINANCE-1-28,T-05e2f749c6e30f6f-981120,BTCUSDT-PERP.BINANCE-DataActor-140728094455584,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.029,34253.80000000,0.99336020 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
