fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,828c075c-8193-4057-b801-61275c8c90ae,O-20210208-000000-001-140724799106400-1,BINANCE-1-1,T-d1eb59afcb639be1-197328,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.052,38849.26000000,2.02016152 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
1,b81db6dc-0e38-45b0-ad3f-b6b39e49efa9,O-20210215-000000-001-140724799106400-2,BINANCE-1-2,T-c548b13be1158784-232866,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.012,48655.20000000,0.58386240 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
2,49638c05-8b0c-453d-95bc-63d95dae8da7,O-20210222-000000-001-140724799106400-3,BINANCE-1-3,T-54ab2240262a4a50-268416,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
3,57d8350f-1242-4b86-8c5b-84d3ba879f7f,O-20210301-000000-001-140724799106400-4,BINANCE-1-4,T-ac281f247fd7fda3-304823,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,45163.37000000,0.18065348 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
4,2d4db10c-92ef-46a1-bafc-baa353676669,O-20210308-000000-001-140724799106400-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-340314,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,50995.26000000,0.25497630 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,fa735071-2c67-4116-9842-6e34a46c6e2e,O-20210315-000000-001-140724799106400-6,BINANCE-1-6,T-e4039ae4ef85d929-375782,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,59037.13000000,0.17711139 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
6,2df8db19-bb2f-4c6b-8ece-f799db461c7a,O-20210322-000000-001-140724799106400-7,BINANCE-1-7,T-e88f57f1af27578f-411370,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.043,57415.17000000,2.46885231 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
7,7a99c224-7eaa-4d22-93be-53fe19c2e8c3,O-20210322-000100-001-140724799106400-8,BINANCE-1-8,T-435d67b71fd0bc18-411375,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.046,57449.36000000,2.64267056 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
8,c7894257-2c23-4578-8367-9d42993397c5,O-20210329-000000-001-140724799106400-9,BINANCE-1-9,T-3082ee7b3f2bdc71-447328,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.046,55805.09000000,2.56703414 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,c7f9af6d-f39a-444d-8d5b-55230a54f288,O-20210329-000100-001-140724799106400-10,BINANCE-1-10,T-373fb60e95b2d048-447333,BTCUSDT-PERP.BINANCE-DataActor-140724799106400,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.053,55857.04000000,2.96042312 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
