event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612742460000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,False
2,1612742460000000000,BINANCE-001,CASH,USDT,0.99694094,0.00000000,0.99694094,False
2,1612742460000000000,BINANCE-001,CASH,BTC,0.25725700,0.00000000,0.25725700,False
3,1616371260000000000,BINANCE-001,CASH,USDT,14749.22274270,0.00000000,14749.22274270,False
3,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
4,1616976060000000000,BINANCE-001,CASH,USDT,14749.22274270,0.00000000,14749.22274270,False
4,1616976060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
5,1616976060000000000,BINANCE-001,CASH,USDT,0.98168014,0.00000000,0.98168014,False
5,1616976060000000000,BINANCE-001,CASH,BTC,0.26392500,0.00000000,0.26392500,False
6,1618790460000000000,BINANCE-001,CASH,USDT,14827.90686394,0.00000000,14827.90686394,False
6,1618790460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
7,1624233660000000000,BINANCE-001,CASH,USDT,14827.90686394,0.00000000,14827.90686394,False
7,1624233660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
8,1624233660000000000,BINANCE-001,CASH,USDT,0.98020309,0.00000000,0.98020309,False
8,1624233660000000000,BINANCE-001,CASH,BTC,0.41634500,0.00000000,0.41634500,False
9,1624838460000000000,BINANCE-001,CASH,USDT,14383.52689865,0.00000000,14383.52689865,False
9,1624838460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
10,1627257660000000000,BINANCE-001,CASH,USDT,14383.52689865,0.00000000,14383.52689865,False
10,1627257660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
11,1627257660000000000,BINANCE-001,CASH,USDT,0.98348472,0.00000000,0.98348472,False
11,1627257660000000000,BINANCE-001,CASH,BTC,0.40673100,0.00000000,0.40673100,False
