client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210201-000000-001-140721075062384-1,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.301,0.301,0.000,FILLED,1612137600000000000,1612137660000000000
O-20210208-000000-001-140721075062384-2,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.004,0.004,0.000,FILLED,1612742400000000000,1612742460000000000
O-20210215-000000-001-140721075062384-3,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.008,0.008,0.000,FILLED,1613347200000000000,1613347260000000000
O-20210222-000000-001-140721075062384-4,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.006,0.006,0.000,FILLED,1613952000000000000,1613952060000000000
O-20210301-000000-001-140721075062384-5,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.002,0.002,0.000,FILLED,1614556800000000000,1614556860000000000
O-20210308-000000-001-140721075062384-6,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.001,0.001,0.000,FILLED,1615161600000000000,1615161660000000000
O-20210315-000000-001-140721075062384-7,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.004,0.004,0.000,FILLED,1615766400000000000,1615766460000000000
O-20210322-000000-001-140721075062384-8,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.276,0.276,0.000,FILLED,1616371200000000000,1616371260000000000
O-20210322-000100-001-140721075062384-9,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.274,0.274,0.000,FILLED,1616371260000000000,1616371320000000000
O-20210329-000000-001-140721075062384-10,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.274,0.274,0.000,FILLED,1616976000000000000,1616976060000000000
O-20210329-000100-001-140721075062384-11,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.291,0.291,0.000,FILLED,1616976060000000000,1616976120000000000
O-20210405-000000-001-140721075062384-12,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.005,0.005,0.000,FILLED,1617580800000000000,1617580860000000000
O-20210412-000000-001-140721075062384-13,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.004,0.004,0.000,FILLED,1618185600000000000,1618185660000000000
O-20210419-000000-001-140721075062384-14,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.282,0.282,0.000,FILLED,1618790400000000000,1618790460000000000
O-20210419-000100-001-140721075062384-15,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.277,0.277,0.000,FILLED,1618790460000000000,1618790520000000000
O-20210426-000000-001-140721075062384-16,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.080,0.080,0.000,FILLED,1619395200000000000,1619395260000000000
O-20210503-000000-001-140721075062384-17,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.094,0.094,0.000,FILLED,1620000000000000000,1620000060000000000
O-20210510-000000-001-140721075062384-18,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.012,0.012,0.000,FILLED,1620604800000000000,1620604860000000000
O-20210517-000000-001-140721075062384-19,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.130,0.130,0.000,FILLED,1621209600000000000,1621209660000000000
O-20210524-000000-001-140721075062384-20,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.260,0.260,0.000,FILLED,1621814400000000000,1621814460000000000
O-20210531-000000-001-140721075062384-21,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.035,0.035,0.000,FILLED,1622419200000000000,1622419260000000000
O-20210607-000000-001-140721075062384-22,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.004,0.004,0.000,FILLED,1623024000000000000,1623024060000000000
O-20210614-000000-001-140721075062384-23,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.099,0.099,0.000,FILLED,1623628800000000000,1623628860000000000
O-20210621-000000-001-140721075062384-24,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.503,0.503,0.000,FILLED,1624233600000000000,1624233660000000000
O-20210621-000100-001-140721075062384-25,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.600,0.600,0.000,FILLED,1624233660000000000,1624233720000000000
O-20210628-000000-001-140721075062384-26,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.600,0.600,0.000,FILLED,1624838400000000000,1624838460000000000
O-20210628-000100-001-140721075062384-27,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.601,0.601,0.000,FILLED,1624838460000000000,1624838520000000000
O-20210705-000000-001-140721075062384-28,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.023,0.023,0.000,FILLED,1625443200000000000,1625443260000000000
O-20210712-000000-001-140721075062384-29,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.034,0.034,0.000,FILLED,1626048000000000000,1626048060000000000
O-20210719-000000-001-140721075062384-30,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.097,0.097,0.000,FILLED,1626652800000000000,1626652860000000000
O-20210726-000000-001-140721075062384-31,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.709,0.709,0.000,FILLED,1627257600000000000,1627257660000000000
O-20210726-000100-001-140721075062384-32,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.562,0.562,0.000,FILLED,1627257660000000000,1627257720000000000
