fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,9c96046f-f0c1-46e0-b0a2-c5436ef17849,O-20210201-000000-001-140728444836720-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,15983afd-61f7-4365-90d2-6e383a75d58b,O-20210208-000000-001-140728444836720-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,d2fd2631-9f9c-401e-bf70-43f4ca3c8096,O-20210215-000000-001-140728444836720-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,a49b23f7-2681-4743-8fac-c65a6367a53d,O-20210222-000000-001-140728444836720-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,fe7a2b01-f713-40a4-bea6-5729fee5ede2,O-20210301-000000-001-140728444836720-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,6d5ec251-a51f-4bcb-8acd-74d789e988d0,O-20210308-000000-001-140728444836720-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,a3e556da-8c03-4871-a36a-9adf90923e68,O-20210315-000000-001-140728444836720-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,92a67288-a115-42dd-838c-86001930a87c,O-20210322-000000-001-140728444836720-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,6074389e-733d-4da7-807c-44f82bcfa70b,O-20210322-000100-001-140728444836720-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,874e7d12-8b4d-4b89-8bed-7a5fb9b3eda1,O-20210329-000000-001-140728444836720-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,a85ee28f-b427-4b74-a169-1a00d90288d5,O-20210329-000100-001-140728444836720-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,49a72e8e-2b66-417c-a7d7-2544e23c113b,O-20210405-000000-001-140728444836720-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,457f9bc2-6f7b-4f55-aae4-6bf62fefc0f4,O-20210412-000000-001-140728444836720-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,d00810b0-ba5f-4cb0-8eec-de38ec5a776e,O-20210419-000000-001-140728444836720-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.067,56140.04000000,3.76138268 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
14,bea698e6-e153-4442-a835-0dba3c401ca3,O-20210419-000100-001-140728444836720-15,BINANCE-1-15,T-78190bb18f0ea15c-553733,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.065,56236.47000000,3.65537055 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
15,9494ab57-f628-4336-83ab-9a8e79f23b50,O-20210426-000000-001-140728444836720-16,BINANCE-1-16,T-06eea41d47eb061b-589626,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.023,49063.93000000,1.12847039 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
16,819df8d1-416e-4cbe-b53d-0f746944b67a,O-20210503-000000-001-140728444836720-17,BINANCE-1-17,T-a2573f3f94e11b73-625050,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.032,56630.34000000,1.81217088 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
17,afa750fe-0d53-4fc1-b914-b6528017b472,O-20210510-000000-001-140728444836720-18,BINANCE-1-18,T-ce24f27a7af93303-660196,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.008,58292.54000000,0.46634032 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
18,f748c957-e3d1-4f18-bae2-140045041b80,O-20210517-000000-001-140728444836720-19,BINANCE-1-19,T-2213e5468ee6d2cb-695779,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,46429.27000000,0.37143416 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
19,a472c619-be36-4df8-a062-0287db7bf624,O-20210524-000000-001-140728444836720-20,BINANCE-1-20,T-c3d455e8b7c4a20b-732403,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,34651.59000000,0.13860636 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
20,e4927586-bf04-4331-8269-60213a42e9bf,O-20210531-000000-001-140728444836720-21,BINANCE-1-21,T-e3cf944dd53a0b20-768687,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.003,35651.82000000,0.10695546 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
21,c3d2adbb-39db-46ba-a4fc-a36628c93147,O-20210614-000000-001-140728444836720-22,BINANCE-1-22,T-c198ee754c308f13-840021,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.008,38993.66000000,0.31194928 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
22,6dc057eb-4d14-4f25-8c3d-271a73d22841,O-20210621-000000-001-140728444836720-23,BINANCE-1-23,T-5b933fac1eb5fddd-875277,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.049,35588.65000000,1.74384385 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
23,a6349483-5cdb-4168-901d-5a4e6737e828,O-20210621-000100-001-140728444836720-24,BINANCE-1-24,T-8f8807bfe4e1d4b8-875282,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.070,35570.49000000,2.48993430 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
24,1ac67d5a-b71c-4280-9d35-6e3a59a41ba0,O-20210628-000000-001-140728444836720-25,BINANCE-1-25,T-102ebecf4ba529a3-910953,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.070,34687.70000000,2.42813900 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
25,5038991f-6f71-4e7f-a657-a9a7eabdae5a,O-20210628-000100-001-140728444836720-26,BINANCE-1-26,T-4808b99cf0348c4d-910957,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.067,34572.76000000,2.31637492 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
26,864ee148-a060-4590-97b9-ba6a59a5815e,O-20210712-000000-001-140728444836720-27,BINANCE-1-27,T-05e2f749c6e30f6f-981119,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.019,34253.80000000,0.65082220 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
27,7207fcdd-1504-4ab5-8c15-26682d226934,O-20210719-000000-001-140728444836720-28,BINANCE-1-28,T-708cdeea6d5089b6-1015759,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.014,31766.99000000,0.44473786 USDT,USDT,TAKER,1626652860000000000,1626652860000000000
28,f8144413-50de-4ca9-ac3b-0543441aacdf,O-20210726-000000-001-140728444836720-29,BINANCE-1-29,T-396cf8ddf89be646-1050484,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,35370.67000000,3.53706700 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
29,c394f8d2-cabd-4faa-bc8c-33ba206640eb,O-20210726-000100-001-140728444836720-30,BINANCE-1-30,T-1a7c800947711f2d-1050489,BTCUSDT-PERP.BINANCE-DataActor-140728444836720,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.118,35304.00000000,4.16587200 USDT,USDT,TAKER,1627257720000000000,1627257720000000000
