event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,False
2,1612137660000000000,BINANCE-001,CASH,USDT,8068.42514542,0.00000000,8068.42514542,False
2,1612137660000000000,BINANCE-001,CASH,BTC,0.05840700,0.00000000,0.05840700,False
3,1612742460000000000,BINANCE-001,CASH,USDT,8204.96623086,0.00000000,8204.96623086,False
3,1612742460000000000,BINANCE-001,CASH,BTC,0.05488700,0.00000000,0.05488700,False
4,1613347260000000000,BINANCE-001,CASH,USDT,8811.31761710,0.00000000,8811.31761710,False
4,1613347260000000000,BINANCE-001,CASH,BTC,0.04240500,0.00000000,0.04240500,False
5,1613952060000000000,BINANCE-001,CASH,USDT,8811.31761710,0.00000000,8811.31761710,False
5,1613952060000000000,BINANCE-001,CASH,BTC,0.04240500,0.00000000,0.04240500,False
6,1613952060000000000,BINANCE-001,CASH,USDT,8765.87679928,0.00000000,8765.87679928,False
6,1613952060000000000,BINANCE-001,CASH,BTC,0.04319500,0.00000000,0.04319500,False
7,1614556860000000000,BINANCE-001,CASH,USDT,8765.87679928,0.00000000,8765.87679928,False
7,1614556860000000000,BINANCE-001,CASH,BTC,0.04319500,0.00000000,0.04319500,False
8,1614556860000000000,BINANCE-001,CASH,USDT,8531.82594775,0.00000000,8531.82594775,False
8,1614556860000000000,BINANCE-001,CASH,BTC,0.04836100,0.00000000,0.04836100,False
9,1615161660000000000,BINANCE-001,CASH,USDT,8841.13474957,0.00000000,8841.13474957,False
9,1615161660000000000,BINANCE-001,CASH,BTC,0.04227400,0.00000000,0.04227400,False
10,1615766460000000000,BINANCE-001,CASH,USDT,8841.13474957,0.00000000,8841.13474957,False
10,1615766460000000000,BINANCE-001,CASH,BTC,0.04227400,0.00000000,0.04227400,False
11,1615766460000000000,BINANCE-001,CASH,USDT,8599.42998651,0.00000000,8599.42998651,False
11,1615766460000000000,BINANCE-001,CASH,BTC,0.04635000,0.00000000,0.04635000,False
12,1616371260000000000,BINANCE-001,CASH,USDT,11256.61819096,0.00000000,11256.61819096,False
12,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
13,1616976060000000000,BINANCE-001,CASH,USDT,11256.61819096,0.00000000,11256.61819096,False
13,1616976060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
14,1616976060000000000,BINANCE-001,CASH,USDT,8110.04736216,0.00000000,8110.04736216,False
14,1616976060000000000,BINANCE-001,CASH,BTC,0.05630900,0.00000000,0.05630900,False
15,1617580860000000000,BINANCE-001,CASH,USDT,8110.04736216,0.00000000,8110.04736216,False
15,1617580860000000000,BINANCE-001,CASH,BTC,0.05630900,0.00000000,0.05630900,False
16,1617580860000000000,BINANCE-001,CASH,USDT,7678.68440974,0.00000000,7678.68440974,False
16,1617580860000000000,BINANCE-001,CASH,BTC,0.06370700,0.00000000,0.06370700,False
17,1618185660000000000,BINANCE-001,CASH,USDT,7678.68440974,0.00000000,7678.68440974,False
17,1618185660000000000,BINANCE-001,CASH,BTC,0.06370700,0.00000000,0.06370700,False
18,1618185660000000000,BINANCE-001,CASH,USDT,7327.11905722,0.00000000,7327.11905722,False
18,1618185660000000000,BINANCE-001,CASH,BTC,0.06954500,0.00000000,0.06954500,False
19,1618790460000000000,BINANCE-001,CASH,USDT,11234.05667930,0.00000000,11234.05667930,False
19,1618790460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
20,1624233660000000000,BINANCE-001,CASH,USDT,11234.05667930,0.00000000,11234.05667930,False
20,1624233660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
21,1624233660000000000,BINANCE-001,CASH,USDT,8844.80416851,0.00000000,8844.80416851,False
21,1624233660000000000,BINANCE-001,CASH,BTC,0.06709100,0.00000000,0.06709100,False
22,1624838460000000000,BINANCE-001,CASH,USDT,11162.44804643,0.00000000,11162.44804643,False
22,1624838460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
23,1627257660000000000,BINANCE-001,CASH,USDT,11162.44804643,0.00000000,11162.44804643,False
23,1627257660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
24,1627257660000000000,BINANCE-001,CASH,USDT,7126.51960723,0.00000000,7126.51960723,False
24,1627257660000000000,BINANCE-001,CASH,BTC,0.11413400,0.00000000,0.11413400,False
