fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,1f9fb83b-d318-4738-a316-3be3fcfbcd86,O-20210201-000000-001-140728581250416-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058407,33037.91,1.92964521 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,c447979e-bb28-4e6a-90df-5b7668e11421,O-20210208-000000-001-140728581250416-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003520,38828.91,0.13667776 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,0f46aed2-a128-4e12-839a-b8296db5c6b9,O-20210215-000000-001-140728581250416-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012482,48626.69,0.60695834 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,ce5bfeda-5d06-4d69-9bb5-3892abdb0a4c,O-20210222-000000-001-140728581250416-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000790,57462.56,0.04539542 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,a59b1312-955f-4451-a6c8-de29b207e02f,O-20210301-000000-001-140728581250416-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005166,45260.75,0.23381703 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,95547edb-034a-457e-aece-762141e11579,O-20210308-000000-001-140728581250416-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006087,50865.52,0.30961842 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,c83fadfe-e625-4783-a378-f37c739c13de,O-20210315-000000-001-140728581250416-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004076,59240.26,0.24146330 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,0cc0417e-50e9-49bc-b21e-c2e5558e7e7f,O-20210322-000000-001-140728581250416-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046350,57386.15,2.65984805 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,68d6036c-5dd9-4d96-9edb-62e0dd9090d3,O-20210329-000000-001-140728581250416-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056309,55824.60,3.14342740 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,f9b4d5d9-3181-436b-9713-6030507aaf26,O-20210405-000000-001-140728581250416-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007398,58249.80,0.43093202 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,0e7c46f1-1189-48c9-bb4e-837e77d1b4ee,O-20210412-000000-001-140728581250416-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005838,60160.01,0.35121414 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,390ee1ae-fb0b-44c7-92bb-b625f353ceab,O-20210419-000000-001-140728581250416-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069545,56234.79,3.91084847 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,ea83ba47-a5f9-4ec9-8097-1560aa6dcef7,O-20210621-000000-001-140728581250416-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.067091,35576.54,2.38686565 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,f828b278-7fe8-40d2-b497-f14bc450a8da,O-20210628-000000-001-140728581250416-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067091,34579.36,2.31996384 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,f9776f15-7a7e-4989-b1bf-00b951075309,O-20210726-000000-001-140728581250416-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140728581250416,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.114134,35325.99,4.03189654 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
