fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,f79b17bd-f0f2-4c20-a2e3-a9bd9079dcce,O-20210201-000000-001-140732855727552-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,a53c5703-8ac5-43e7-9c1a-d72995634b9e,O-20210208-000000-001-140732855727552-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,c3c952d2-f418-445d-aa72-e351e5e59199,O-20210215-000000-001-140732855727552-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,92af9665-6a5b-448f-86dd-16c1189f619d,O-20210222-000000-001-140732855727552-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,bbed157b-897c-4db8-9f31-55846d3b7d50,O-20210301-000000-001-140732855727552-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,ca5825a0-dfbb-4576-bdb3-a620ed44bc4e,O-20210308-000000-001-140732855727552-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,3e6496ea-a3ad-4877-8a42-fb8a159c1456,O-20210315-000000-001-140732855727552-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,8d2ff84b-7bb0-4788-a626-d57d25922e9b,O-20210322-000000-001-140732855727552-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,ee2f4970-b6f4-4aac-9dd0-0b62f7717921,O-20210322-000100-001-140732855727552-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,a868d45d-0cd0-410c-b385-4219ee08f8d4,O-20210329-000000-001-140732855727552-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140732855727552,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
