fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,6be7d4e6-2657-4dc7-819d-95fd34b3085d,O-20210201-000000-001-140729271779104-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,959f9ca8-0fd4-4685-8aea-b61960e9c758,O-20210208-000000-001-140729271779104-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,248813c3-754a-45b3-83f8-a410c57d302b,O-20210215-000000-001-140729271779104-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,0fb4f0b0-e0ef-4c15-b98e-c09b19dd5669,O-20210222-000000-001-140729271779104-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,c64f7ddc-756e-411a-8eaf-8e39f89cfa22,O-20210301-000000-001-140729271779104-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,264600ac-2606-4a34-a669-f52e3aac037b,O-20210308-000000-001-140729271779104-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,e98812b6-cb19-4a70-b2fd-3181a63e6e9e,O-20210315-000000-001-140729271779104-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,9b2cee15-9fd2-4bec-a383-f97a1de02015,O-20210322-000000-001-140729271779104-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,d55903ca-9c6a-485f-8ff2-4a4c561a5675,O-20210322-000100-001-140729271779104-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,7869e58e-6d4b-48d9-a3b3-a87ba0c39d23,O-20210329-000000-001-140729271779104-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,eda7f26a-3f4c-424d-8f0f-a5ae0b1783e7,O-20210329-000100-001-140729271779104-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,b10c335c-5fbf-4550-acdb-8fae6aeb2ce0,O-20210405-000000-001-140729271779104-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,8f946c05-eb0e-4a8c-b590-6858fd5d3ff2,O-20210412-000000-001-140729271779104-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140729271779104,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
