adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:795808cb-d67a-4114-a212-703c145ec990,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:ef14d19a-ebfc-49d7-85d1-b0945cde517b,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:381d2955-53f3-4030-8d88-e95dead94d67,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:478920c2-2e5d-4806-b396-150ca3b6e835,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:c18f9ce6-817e-4c83-a647-577413ae0ca7,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:66e592c2-411d-4b57-a328-c989735e25fe,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:11e601ab-0e6b-4929-91e4-179746a9d604,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:0d476092-8a3c-476d-8069-04f9353d76d9,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:ad3b7ae1-8659-4327-9879-30773dcf1984,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:40784d4e-2f99-4c00-bfb3-b7ba076b05eb,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:12d53ff4-717c-4ad0-8a36-d27e0d16a688,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:496d6901-c1ed-419d-becc-8008870d2bf3,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:6bbc4f99-3bf1-45a1-9e52-d5a76cba2456,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:87eff2dd-bfa4-4fea-b1bb-99b012ebc79d,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:1d5643af-5772-45d2-a3c9-ea6373f46b63,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:d1d7a7c9-48ca-4f6a-af53-1789044dc384,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:3757bbf8-8882-4440-aa14-9f47a1567c5e,1612627200000000000
