event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,False
2,1612137660000000000,BINANCE-001,CASH,USDT,0.99889941,0.00000000,0.99889941,False
2,1612137660000000000,BINANCE-001,CASH,BTC,0.30235000,0.00000000,0.30235000,False
3,1616371260000000000,BINANCE-001,CASH,USDT,17334.35064946,0.00000000,17334.35064946,False
3,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
4,1616976060000000000,BINANCE-001,CASH,USDT,17334.35064946,0.00000000,17334.35064946,False
4,1616976060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
5,1616976060000000000,BINANCE-001,CASH,USDT,1.02526448,0.00000000,1.02526448,False
5,1616976060000000000,BINANCE-001,CASH,BTC,0.31018600,0.00000000,0.31018600,False
6,1618790460000000000,BINANCE-001,CASH,USDT,17426.82659085,0.00000000,17426.82659085,False
6,1618790460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
7,1624233660000000000,BINANCE-001,CASH,USDT,17426.82659085,0.00000000,17426.82659085,False
7,1624233660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
8,1624233660000000000,BINANCE-001,CASH,USDT,0.99888915,0.00000000,0.99888915,False
8,1624233660000000000,BINANCE-001,CASH,BTC,0.48932300,0.00000000,0.48932300,False
9,1624838460000000000,BINANCE-001,CASH,USDT,16904.55458626,0.00000000,16904.55458626,False
9,1624838460000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
10,1627257660000000000,BINANCE-001,CASH,USDT,16904.55458626,0.00000000,16904.55458626,False
10,1627257660000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
11,1627257660000000000,BINANCE-001,CASH,USDT,0.99687146,0.00000000,0.99687146,False
11,1627257660000000000,BINANCE-001,CASH,BTC,0.47802400,0.00000000,0.47802400,False
