fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,ff4f041c-200b-492c-81ae-c4d6eff4aed2,O-20210201-000000-001-140726637518832-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058407,33037.91,1.92964521 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,dcbb573b-fba1-4599-a492-8bc17a3e6b02,O-20210208-000000-001-140726637518832-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003520,38828.91,0.13667776 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,566b2976-be1d-42cc-9f6f-3ab4fe5fa7c4,O-20210215-000000-001-140726637518832-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012482,48626.69,0.60695834 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,3134aea6-6699-4b77-b7e0-e380e38166f1,O-20210222-000000-001-140726637518832-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000790,57462.56,0.04539542 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,15747846-b145-4af8-bada-0cc14b81f900,O-20210301-000000-001-140726637518832-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005166,45260.75,0.23381703 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,d03bc69c-8b5b-44bc-936f-4a19d4351f24,O-20210308-000000-001-140726637518832-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006087,50865.52,0.30961842 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,deb16c2c-c77e-4779-bea6-99ed8c199b97,O-20210315-000000-001-140726637518832-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004076,59240.26,0.24146330 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,e04399fa-4950-4d3b-9ded-21aebaa05b63,O-20210322-000000-001-140726637518832-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046350,57386.15,2.65984805 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,678c3c46-3629-4c94-88b6-f0dd1da8355d,O-20210329-000000-001-140726637518832-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056309,55824.60,3.14342740 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,5ee2db6e-3102-4db7-a109-a95ae4a53905,O-20210405-000000-001-140726637518832-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007398,58249.80,0.43093202 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,d628bcb8-6ed1-4456-bab7-0c849fd88a4a,O-20210412-000000-001-140726637518832-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005838,60160.01,0.35121414 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,a88ffb50-0f97-4ac5-b1b9-70bda93a9f7b,O-20210419-000000-001-140726637518832-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069545,56234.79,3.91084847 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,a95d8ed1-3252-47ed-816d-12c6a7d3fe6c,O-20210621-000000-001-140726637518832-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.067091,35576.54,2.38686565 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,75c4923b-824c-4d8c-916d-c3dc3545ce1a,O-20210628-000000-001-140726637518832-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067091,34579.36,2.31996384 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,944fb79d-d246-414f-b203-ff0211a4e00b,O-20210726-000000-001-140726637518832-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140726637518832,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.114134,35325.99,4.03189654 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
