row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627257660000000000,BTCUSDT.BINANCE,LONG,0.114134,0.114134,35325.990000000005,-4.03189654 USDT
PositionOpened,0,1612137660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.058407,0.058407,,
PositionChanged,1,1612742460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.054887,0.054887,,
PositionChanged,2,1613347260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.042405,0.042405,,
PositionChanged,3,1613952060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.043195,0.043195,,
PositionChanged,4,1614556860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.048361,0.048361,,
PositionChanged,5,1615161660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.042274,0.042274,,
PositionChanged,6,1615766460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.046350,0.046350,,
PositionClosed,7,1616371260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1616976060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.056309,0.056309,,
PositionChanged,9,1617580860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.063707,0.063707,,
PositionChanged,10,1618185660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.069545,0.069545,,
PositionClosed,11,1618790460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,12,1624233660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.067091,0.067091,,
PositionClosed,13,1624838460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,14,1627257660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.114134,0.114134,,
