fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,04fc599c-3b2b-4c66-9ecb-c504be593534,O-20210201-000000-001-140736679949952-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,3df4b6e8-bdd3-44a4-9bbd-67a471a82b71,O-20210208-000000-001-140736679949952-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,f41958c7-6c68-49a4-80b2-7e84fcef08e0,O-20210215-000000-001-140736679949952-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,b32bc89e-25ff-426e-a314-d6841d994cd8,O-20210222-000000-001-140736679949952-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,338f6cd1-ec88-4de9-a9d4-6472015cafca,O-20210301-000000-001-140736679949952-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,13906cfc-452f-4d6d-98e7-1d6724f58951,O-20210308-000000-001-140736679949952-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,bf87ec67-be89-4c40-9583-b3139476b5ee,O-20210315-000000-001-140736679949952-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,fa2cba5f-ea91-4813-968b-72f191c52377,O-20210322-000000-001-140736679949952-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,7d2a0083-ad96-4811-9b87-5f927bbcab1c,O-20210322-000100-001-140736679949952-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,2b516658-f8c5-4b72-85e0-7efc6c828c8b,O-20210329-000000-001-140736679949952-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,088bafc7-5a12-4395-8cdc-44685138130a,O-20210329-000100-001-140736679949952-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.291,55857.04000000,16.25439864 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,bfbd1881-6931-4af3-832f-f14b9187a71c,O-20210405-000000-001-140736679949952-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,58234.60000000,0.29117300 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,e2005052-7875-4f8e-99ac-58f161ddd457,O-20210412-000000-001-140736679949952-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,60090.19000000,0.24036076 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,e1b80d97-6184-4017-80b3-a76ed6d545d8,O-20210419-000000-001-140736679949952-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140736679949952,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.282,56140.04000000,15.83149128 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
