row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627747200003000000,BTCUSDT-PERP.BINANCE,LONG,0.562,0.562,35304.0,-47.30364078 USDT
PositionOpened,0,1612137660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.301,0.301,,
PositionChanged,1,1612742460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.297,0.297,,
PositionChanged,2,1613347260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.289,0.289,,
PositionChanged,3,1613952060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.283,0.283,,
PositionChanged,4,1614556860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.281,0.281,,
PositionChanged,5,1615161660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.280,0.280,,
PositionChanged,6,1615766460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.276,0.276,,
PositionClosed,7,1616371260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1616371320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.274,0.274,,
PositionClosed,9,1616976060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,10,1616976120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.291,0.291,,
PositionChanged,11,1617580860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.286,0.286,,
PositionChanged,12,1618185660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.282,0.282,,
PositionClosed,13,1618790460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,14,1618790520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.277,0.277,,
PositionChanged,15,1619395260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.357,0.357,,
PositionChanged,16,1620000060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.263,0.263,,
PositionChanged,17,1620604860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.251,0.251,,
PositionChanged,18,1621209660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.381,0.381,,
PositionChanged,19,1621814460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.641,0.641,,
PositionChanged,20,1622419260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.606,0.606,,
PositionChanged,21,1623024060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.602,0.602,,
PositionChanged,22,1623628860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.503,0.503,,
PositionClosed,23,1624233660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,24,1624233720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.600,0.600,,
PositionClosed,25,1624838460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,26,1624838520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.601,0.601,,
PositionChanged,27,1625443260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.578,0.578,,
PositionChanged,28,1626048060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.612,0.612,,
PositionChanged,29,1626652860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.709,0.709,,
PositionClosed,30,1627257660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,31,1627257720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.562,0.562,,
