row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627747200003000000,BTCUSDT-PERP.BINANCE,LONG,0.118,0.118,35304.0,-9.93208115 USDT
PositionOpened,0,1612137660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.058,0.058,,
PositionChanged,1,1612742460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.054,0.054,,
PositionChanged,2,1613347260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.041,0.041,,
PositionChanged,3,1613952060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.042,0.042,,
PositionChanged,4,1614556860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.047,0.047,,
PositionChanged,5,1615161660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.041,0.041,,
PositionChanged,6,1615766460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.045,0.045,,
PositionClosed,7,1616371260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1616371320000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.048,0.048,,
PositionClosed,9,1616976060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,10,1616976120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.055,0.055,,
PositionChanged,11,1617580860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.062,0.062,,
PositionChanged,12,1618185660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.067,0.067,,
PositionClosed,13,1618790460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,14,1618790520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.065,0.065,,
PositionChanged,15,1619395260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.088,0.088,,
PositionChanged,16,1620000060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.056,0.056,,
PositionChanged,17,1620604860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.048,0.048,,
PositionChanged,18,1621209660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.056,0.056,,
PositionChanged,19,1621814460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.060,0.060,,
PositionChanged,20,1622419260000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.057,0.057,,
PositionChanged,21,1623628860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.049,0.049,,
PositionClosed,22,1624233660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,23,1624233720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.070,0.070,,
PositionClosed,24,1624838460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,25,1624838520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.067,0.067,,
PositionChanged,26,1626048060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.086,0.086,,
PositionChanged,27,1626652860000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.100,0.100,,
PositionClosed,28,1627257660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,29,1627257720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.118,0.118,,
