fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,578aeafc-496f-461e-8d90-c557fc9b1ea3,O-20210201-000000-001-140722508539568-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058407,33037.91,1.92964521 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,b5d74d5e-f2cd-4e91-b771-bd18a5cbf7e3,O-20210208-000000-001-140722508539568-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003520,38828.91,0.13667776 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,d86a8fe1-f00d-41c3-b3c8-ce5cb309bed8,O-20210215-000000-001-140722508539568-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012482,48626.69,0.60695834 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,67730105-4740-4115-9dbe-188240aecbeb,O-20210222-000000-001-140722508539568-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000790,57462.56,0.04539542 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,961b3e1e-06a5-46b9-9b1b-9b9bed43ea84,O-20210301-000000-001-140722508539568-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005166,45260.75,0.23381703 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,20eaa18c-0ee2-4116-b897-c587e4e68166,O-20210308-000000-001-140722508539568-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006087,50865.52,0.30961842 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,a51e7516-17ac-495d-bbc4-4af8b4a93ed2,O-20210315-000000-001-140722508539568-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004076,59240.26,0.24146330 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,7e323662-ca26-4f15-88b1-93f454754c1a,O-20210322-000000-001-140722508539568-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046350,57386.15,2.65984805 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,469e4ea4-2401-45e2-b930-397a4c748e6c,O-20210329-000000-001-140722508539568-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056309,55824.60,3.14342740 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,25a248b5-7a65-4af8-84d8-06f3f29b0f78,O-20210405-000000-001-140722508539568-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007398,58249.80,0.43093202 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,caac0f21-f2e6-4097-886a-5a243fe56315,O-20210412-000000-001-140722508539568-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005838,60160.01,0.35121414 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,81b3d44a-35d0-4e4d-af92-02372881e48f,O-20210419-000000-001-140722508539568-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069545,56234.79,3.91084847 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,86105be1-a3b5-4280-9ecf-aa0bcea2148c,O-20210621-000000-001-140722508539568-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.067091,35576.54,2.38686565 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,5a02a7ba-208e-4e2d-a688-3c558a56e4a0,O-20210628-000000-001-140722508539568-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.067091,34579.36,2.31996384 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,313fa732-3311-4533-8c8a-2656dafbba86,O-20210726-000000-001-140722508539568-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140722508539568,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.114134,35325.99,4.03189654 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
