client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210202-000000-001-140724387083984-1,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612224000000000000,1612224060000000000
O-20210203-000000-001-140724387083984-2,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612310400000000000,1612310460000000000
O-20210204-000000-001-140724387083984-3,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612396800000000000,1612396860000000000
O-20210205-000000-001-140724387083984-4,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612483200000000000,1612483260000000000
O-20210206-000000-001-140724387083984-5,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612569600000000000,1612569660000000000
O-20210207-000000-001-140724387083984-6,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612656000000000000,1612656060000000000
O-20210208-000000-001-140724387083984-7,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612742400000000000,1612742460000000000
O-20210209-000000-001-140724387083984-8,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612828800000000000,1612828860000000000
O-20210210-000000-001-140724387083984-9,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1612915200000000000,1612915260000000000
O-20210211-000000-001-140724387083984-10,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613001600000000000,1613001660000000000
O-20210212-000000-001-140724387083984-11,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613088000000000000,1613088060000000000
O-20210213-000000-001-140724387083984-12,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613174400000000000,1613174460000000000
O-20210214-000000-001-140724387083984-13,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613260800000000000,1613260860000000000
O-20210215-000000-001-140724387083984-14,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613347200000000000,1613347260000000000
O-20210216-000000-001-140724387083984-15,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613433600000000000,1613433660000000000
O-20210217-000000-001-140724387083984-16,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613520000000000000,1613520060000000000
O-20210218-000000-001-140724387083984-17,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613606400000000000,1613606460000000000
O-20210219-000000-001-140724387083984-18,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613692800000000000,1613692860000000000
O-20210220-000000-001-140724387083984-19,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613779200000000000,1613779260000000000
O-20210221-000000-001-140724387083984-20,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613865600000000000,1613865660000000000
O-20210222-000000-001-140724387083984-21,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1613952000000000000,1613952060000000000
O-20210223-000000-001-140724387083984-22,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614038400000000000,1614038460000000000
O-20210224-000000-001-140724387083984-23,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614124800000000000,1614124860000000000
O-20210225-000000-001-140724387083984-24,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614211200000000000,1614211260000000000
O-20210226-000000-001-140724387083984-25,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614297600000000000,1614297660000000000
O-20210227-000000-001-140724387083984-26,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614384000000000000,1614384060000000000
O-20210228-000000-001-140724387083984-27,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614470400000000000,1614470460000000000
O-20210301-000000-001-140724387083984-28,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614556800000000000,1614556860000000000
O-20210302-000000-001-140724387083984-29,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614643200000000000,1614643260000000000
O-20210303-000000-001-140724387083984-30,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614729600000000000,1614729660000000000
O-20210304-000000-001-140724387083984-31,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614816000000000000,1614816060000000000
O-20210305-000000-001-140724387083984-32,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614902400000000000,1614902460000000000
O-20210306-000000-001-140724387083984-33,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1614988800000000000,1614988860000000000
O-20210307-000000-001-140724387083984-34,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615075200000000000,1615075260000000000
O-20210308-000000-001-140724387083984-35,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615161600000000000,1615161660000000000
O-20210309-000000-001-140724387083984-36,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615248000000000000,1615248060000000000
O-20210310-000000-001-140724387083984-37,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615334400000000000,1615334460000000000
O-20210311-000000-001-140724387083984-38,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615420800000000000,1615420860000000000
O-20210312-000000-001-140724387083984-39,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615507200000000000,1615507260000000000
O-20210313-000000-001-140724387083984-40,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615593600000000000,1615593660000000000
O-20210314-000000-001-140724387083984-41,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615680000000000000,1615680060000000000
O-20210315-000000-001-140724387083984-42,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615766400000000000,1615766460000000000
O-20210316-000000-001-140724387083984-43,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615852800000000000,1615852860000000000
O-20210317-000000-001-140724387083984-44,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1615939200000000000,1615939260000000000
O-20210318-000000-001-140724387083984-45,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616025600000000000,1616025660000000000
O-20210319-000000-001-140724387083984-46,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616112000000000000,1616112060000000000
O-20210320-000000-001-140724387083984-47,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616198400000000000,1616198460000000000
O-20210321-000000-001-140724387083984-48,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616284800000000000,1616284860000000000
O-20210322-000000-001-140724387083984-49,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616371200000000000,1616371260000000000
O-20210323-000000-001-140724387083984-50,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616457600000000000,1616457660000000000
O-20210324-000000-001-140724387083984-51,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616544000000000000,1616544060000000000
O-20210325-000000-001-140724387083984-52,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616630400000000000,1616630460000000000
O-20210326-000000-001-140724387083984-53,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616716800000000000,1616716860000000000
O-20210327-000000-001-140724387083984-54,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616803200000000000,1616803260000000000
O-20210328-000000-001-140724387083984-55,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616889600000000000,1616889660000000000
O-20210329-000000-001-140724387083984-56,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1616976000000000000,1616976060000000000
O-20210330-000000-001-140724387083984-57,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617062400000000000,1617062460000000000
O-20210331-000000-001-140724387083984-58,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617148800000000000,1617148860000000000
O-20210401-000000-001-140724387083984-59,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617235200000000000,1617235260000000000
O-20210402-000000-001-140724387083984-60,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617321600000000000,1617321660000000000
O-20210403-000000-001-140724387083984-61,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617408000000000000,1617408060000000000
O-20210404-000000-001-140724387083984-62,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617494400000000000,1617494460000000000
O-20210405-000000-001-140724387083984-63,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617580800000000000,1617580860000000000
O-20210406-000000-001-140724387083984-64,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617667200000000000,1617667260000000000
O-20210407-000000-001-140724387083984-65,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617753600000000000,1617753660000000000
O-20210408-000000-001-140724387083984-66,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617840000000000000,1617840060000000000
O-20210409-000000-001-140724387083984-67,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1617926400000000000,1617926460000000000
O-20210410-000000-001-140724387083984-68,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618012800000000000,1618012860000000000
O-20210411-000000-001-140724387083984-69,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618099200000000000,1618099260000000000
O-20210412-000000-001-140724387083984-70,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618185600000000000,1618185660000000000
O-20210413-000000-001-140724387083984-71,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618272000000000000,1618272060000000000
O-20210414-000000-001-140724387083984-72,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618358400000000000,1618358460000000000
O-20210415-000000-001-140724387083984-73,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618444800000000000,1618444860000000000
