fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,0a12cdb7-4e53-4a1b-b618-7e3793d7b8c7,O-20210202-000000-001-140730670348480-1,BINANCE-1-1,T-26fe7ac87a4e1d02-166726,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,33546.08000000,3.35460800 USDT,USDT,TAKER,1612224060000000000,1612224060000000000
1,60221eb9-94d9-4e52-a795-937c3f2fa716,O-20210203-000000-001-140730670348480-2,BINANCE-1-2,T-5987e40c0fec23ca-171817,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,35504.07000000,3.55040700 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
2,52d773e3-31ef-49fe-8969-57ef09979eaa,O-20210203-000100-001-140730670348480-3,BINANCE-1-3,T-dfd490810981b4e2-171822,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,35517.27000000,3.55172700 USDT,USDT,TAKER,1612310520000000000,1612310520000000000
3,604b5c78-26bc-4415-acea-7c93ebb73ba0,O-20210226-000000-001-140730670348480-4,BINANCE-1-4,T-3eb79e284fb134e6-289252,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,47089.36000000,4.70893600 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
4,41e5c97b-6b0e-4179-a650-f239d6e8b03b,O-20210226-000100-001-140730670348480-5,BINANCE-1-5,T-2cf86f8ca1927b69-289256,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,46949.84000000,4.69498400 USDT,USDT,TAKER,1614297720000000000,1614297720000000000
5,6ac75afb-a98f-4250-9ab8-f136e6fc05b5,O-20210304-000000-001-140730670348480-6,BINANCE-1-6,T-461bc445bc14828c-320036,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50373.76000000,5.03737600 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
6,8fb1125f-b323-4c1b-abb2-7f65ddd9d3ee,O-20210304-000100-001-140730670348480-7,BINANCE-1-7,T-52cd0f44ace9e9ae-320040,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50131.44000000,5.01314400 USDT,USDT,TAKER,1614816120000000000,1614816120000000000
7,be9fedfa-27fc-4fad-bf40-36cbcb41ae49,O-20210305-000000-001-140730670348480-8,BINANCE-1-8,T-fde6042030eef3ee-325174,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,48385.76000000,4.83857600 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
8,f5710b65-ab50-4d50-8bfe-b44a1d510587,O-20210305-000100-001-140730670348480-9,BINANCE-1-9,T-e0822a795f93b0f7-325178,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.100,48369.99000000,4.83699900 USDT,USDT,TAKER,1614902520000000000,1614902520000000000
9,f8d778d6-8474-451e-a216-844192817de7,O-20210308-000000-001-140730670348480-10,BINANCE-1-10,T-a8bbecfbcc0fb8dc-340319,BTCUSDT-PERP.BINANCE-DataActor-140730670348480,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.100,50995.28000000,5.09952800 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
