adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,1.51744042 USDT,,funding_settlement:bc789cac-bd48-49e9-8e87-e911ac517cba,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,4.24588994 USDT,,funding_settlement:0f3d6966-5af5-454b-ab9a-fab6607134f4,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,2.74543485 USDT,,funding_settlement:4ef143a9-83cb-4934-af3d-b165c96526d7,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.93663042 USDT,,funding_settlement:eabee169-e28f-4579-9740-42162ec97e1a,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.77764385 USDT,,funding_settlement:e58de5ff-2991-4afa-a4c8-20a36a4d4bae,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.09426287 USDT,,funding_settlement:b8827ffe-fafe-4c50-bfc6-6f932f93b663,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.81351013 USDT,,funding_settlement:f83d5f00-abaa-4e16-b3a5-ab98bcdaa12c,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.26698705 USDT,,funding_settlement:a3751475-fdb0-481c-8159-55fedba5fc68,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.09510754 USDT,,funding_settlement:26de6dc0-d629-4e08-aa0c-02c2d3fd3bf3,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.82110304 USDT,,funding_settlement:0a167886-cc11-4688-96f9-75224e7aad6e,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.76730665 USDT,,funding_settlement:5299e333-c8a8-471c-84c7-cb2e81727eeb,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33299897 USDT,,funding_settlement:9e685171-c74e-4461-b525-e2fb239ec330,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.75107095 USDT,,funding_settlement:55a86d98-7112-4a6c-b0c4-e31705e2113e,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.18563489 USDT,,funding_settlement:c9100360-a31c-469d-a74b-b0a8991a67e2,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.10533138 USDT,,funding_settlement:39075d9e-af5c-4153-9893-bb0011b546a8,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.54376432 USDT,,funding_settlement:7c3bc85c-2ec1-4685-acfe-a4ee1680fc77,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.03137372 USDT,,funding_settlement:c6b6c6b8-cfe2-4470-a420-ff54e40f3bac,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.30210795 USDT,,funding_settlement:1988bd51-f772-413b-8444-963c2e4ad418,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.27530295 USDT,,funding_settlement:53f84d41-d1c2-4004-a7f0-1ff10c4e42c1,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.89903364 USDT,,funding_settlement:de99c3ef-afdc-40e8-a8ef-bf9e3c177649,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.08623637 USDT,,funding_settlement:8d82ee79-3d23-4428-8205-376418576555,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.88539955 USDT,,funding_settlement:ea9e7894-fde8-400c-893c-8a3ed08c490e,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.55146111 USDT,,funding_settlement:00ec0622-e5bb-4a44-98cb-ca6785b70e81,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.78249731 USDT,,funding_settlement:91cef7e1-aaa0-4de2-926c-e49e93e94c41,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.18465407 USDT,,funding_settlement:582c8143-bdb6-4c79-bebf-686f865f4779,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.98635241 USDT,,funding_settlement:5b98e6ac-bd12-4840-8b3b-36eff6906f5b,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.44298609 USDT,,funding_settlement:a4bc19b7-37d0-447f-9438-21f1c790807b,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71822733 USDT,,funding_settlement:78159a2f-e931-4b90-b203-c8ab92482e24,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.37095753 USDT,,funding_settlement:8895fd51-61fa-4437-bc26-62487a9df699,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.19019507 USDT,,funding_settlement:e43f712d-fad4-453a-9786-bbbcb8672340,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.95388962 USDT,,funding_settlement:64ea4581-8f0a-44d5-9bf7-a2b260de0a75,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.96681448 USDT,,funding_settlement:b0d30c49-08c6-4d0f-8a11-d6203a52825c,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.63322262 USDT,,funding_settlement:f44b9d42-54dd-442d-9cf4-b12c5dc01e4b,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.66184388 USDT,,funding_settlement:2ee9c45c-b20d-48ee-8ab3-82dae02eeb9c,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.57935624 USDT,,funding_settlement:8f88a194-c5d3-495d-a364-f286da8ebc42,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01610519 USDT,,funding_settlement:c7fef875-6065-41b3-882f-542e1188e24a,1613260800013000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.13760738 USDT,,funding_settlement:4421ccff-6e5e-4b4f-8114-11adcaa806b9,1613289600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.27184123 USDT,,funding_settlement:b7306beb-8957-42d8-9930-eef91be8a566,1613318400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.73651451 USDT,,funding_settlement:62326830-608f-4c34-a1a6-743bd035ef32,1613347200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.92073772 USDT,,funding_settlement:cd6b90b2-fb62-4496-b2a4-9bd104bb0b82,1613376000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.27004947 USDT,,funding_settlement:d2215b40-d86c-457d-ba58-922f70bd989a,1613404800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.77884983 USDT,,funding_settlement:ce91b2dd-0a40-4a00-9312-46625238a15f,1613433600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.08073645 USDT,,funding_settlement:29d46657-b3c9-43ec-b0d2-4b3176e54306,1613462400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.95391374 USDT,,funding_settlement:b458706e-21e9-4f1f-9836-9d7d0c91b048,1613491200010000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.12231168 USDT,,funding_settlement:91fe7f1d-27ea-4a4a-9bdc-5d1955490783,1613520000005000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.78187415 USDT,,funding_settlement:79898eaa-ef3d-4462-87f0-9fae9cc5bfbb,1613548800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.53524288 USDT,,funding_settlement:e4ecf756-20f9-4482-90f3-4c6ddd047218,1613577600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.90268498 USDT,,funding_settlement:f85ee52f-bdd2-4aba-947a-72691b6c74ce,1613606400012000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.02598722 USDT,,funding_settlement:7a775eab-180e-468b-8619-09bb19499819,1613635200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.50073894 USDT,,funding_settlement:120e9777-ae6a-4b27-8dca-dee0b84fdfcc,1613664000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.70968606 USDT,,funding_settlement:7229a587-5c28-412a-93a4-f82a81752b95,1613692800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.38083720 USDT,,funding_settlement:5214b2a4-7d73-4f00-91df-f3770c2b623f,1613721600002000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.94656491 USDT,,funding_settlement:e9ab87d0-f60e-4226-a4bb-22819d6390b3,1613750400008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.75115222 USDT,,funding_settlement:abad2bd4-dd1f-4dcc-90cf-fc6f8fb71b45,1613779200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.44071252 USDT,,funding_settlement:83b9fdd0-8404-46eb-be7e-3f70418f6f71,1613808000009000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.88615821 USDT,,funding_settlement:06005a8b-5f46-409d-a159-30bcf1c285af,1613836800000000000
