client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210202-000000-001-140730670348480-1,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1612224000000000000,1612224060000000000
O-20210203-000000-001-140730670348480-2,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1612310400000000000,1612310460000000000
O-20210203-000100-001-140730670348480-3,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1612310460000000000,1612310520000000000
O-20210226-000000-001-140730670348480-4,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1614297600000000000,1614297660000000000
O-20210226-000100-001-140730670348480-5,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1614297660000000000,1614297720000000000
O-20210304-000000-001-140730670348480-6,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1614816000000000000,1614816060000000000
O-20210304-000100-001-140730670348480-7,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1614816060000000000,1614816120000000000
O-20210305-000000-001-140730670348480-8,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1614902400000000000,1614902460000000000
O-20210305-000100-001-140730670348480-9,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1614902460000000000,1614902520000000000
O-20210308-000000-001-140730670348480-10,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1615161600000000000,1615161660000000000
O-20210308-000100-001-140730670348480-11,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1615161660000000000,1615161720000000000
O-20210323-000000-001-140730670348480-12,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1616457600000000000,1616457660000000000
O-20210323-000100-001-140730670348480-13,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1616457660000000000,1616457720000000000
O-20210330-000000-001-140730670348480-14,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1617062400000000000,1617062460000000000
O-20210330-000100-001-140730670348480-15,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1617062460000000000,1617062520000000000
O-20210408-000000-001-140730670348480-16,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1617840000000000000,1617840060000000000
O-20210408-000100-001-140730670348480-17,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1617840060000000000,1617840120000000000
O-20210409-000000-001-140730670348480-18,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1617926400000000000,1617926460000000000
O-20210409-000100-001-140730670348480-19,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1617926460000000000,1617926520000000000
O-20210419-000000-001-140730670348480-20,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1618790400000000000,1618790460000000000
O-20210419-000100-001-140730670348480-21,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1618790460000000000,1618790520000000000
O-20210501-000000-001-140730670348480-22,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1619827200000000000,1619827260000000000
O-20210501-000100-001-140730670348480-23,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1619827260000000000,1619827320000000000
O-20210505-000000-001-140730670348480-24,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1620172800000000000,1620172860000000000
O-20210505-000100-001-140730670348480-25,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1620172860000000000,1620172920000000000
O-20210506-000000-001-140730670348480-26,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1620259200000000000,1620259260000000000
O-20210506-000100-001-140730670348480-27,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1620259260000000000,1620259320000000000
O-20210513-000000-001-140730670348480-28,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1620864000000000000,1620864060000000000
O-20210513-000100-001-140730670348480-29,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1620864060000000000,1620864120000000000
O-20210604-000000-001-140730670348480-30,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1622764800000000000,1622764860000000000
O-20210604-000100-001-140730670348480-31,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.100,0.000,FILLED,1622764860000000000,1622764920000000000
O-20210605-000000-001-140730670348480-32,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.100,0.000,FILLED,1622851200000000000,1622851260000000000
