row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627747200003000000,BTCUSDT-PERP.BINANCE,LONG,0.1,0.100,33677.53999999999,-3.69397484 USDT
PositionOpened,0,1612224060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,1,1612310460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,2,1612310520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,3,1614297660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,4,1614297720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,5,1614816060000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,6,1614816120000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,7,1614902460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1614902520000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,9,1615161660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,10,1615161720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,11,1616457660000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,12,1616457720000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,-0.1,0.1,,
PositionClosed,13,1617062460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
