fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,d2af2444-5a47-43ae-9533-2716a164ef98,O-20210203-000000-001-140730959343968-1,BINANCE-1-1,T-5987e40c0fec23ca-168815,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35481.78,3.54817800 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
1,994b6755-e771-4d2f-821d-7889a84b72b3,O-20210226-000000-001-140730959343968-2,BINANCE-1-2,T-3eb79e284fb134e6-285615,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,46914.07,4.69140700 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
2,7943afdb-885a-4b0e-98e0-bdbe22ad3981,O-20210304-000000-001-140730959343968-3,BINANCE-1-3,T-461bc445bc14828c-316598,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50112.68,5.01126800 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
3,672c75c8-0b93-4e4d-99ed-cecce8f38aa2,O-20210305-000000-001-140730959343968-4,BINANCE-1-4,T-fde6042030eef3ee-321694,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,48341.23,4.83412300 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
4,c85ba8c2-28a7-44f9-a6ee-fb2e68b09418,O-20210308-000000-001-140730959343968-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50865.54,5.08655400 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,f6f7ba1b-0f5b-42e4-9f1e-9c1297819357,O-20210323-000000-001-140730959343968-6,BINANCE-1-6,T-eb4e7562ec9c5294-411986,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,54202.71,5.42027100 USDT,USDT,TAKER,1616457660000000000,1616457660000000000
6,99c628d6-638a-444b-955e-878b70b24a16,O-20210330-000000-001-140730959343968-7,BINANCE-1-7,T-10e54d611db200b2-446890,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57638.16,5.76381600 USDT,USDT,TAKER,1617062460000000000,1617062460000000000
7,187aa4bb-007f-4ac8-9341-85622bfdd421,O-20210408-000000-001-140730959343968-8,BINANCE-1-8,T-ffe92bb306950130-491088,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,55950.00,5.59500000 USDT,USDT,TAKER,1617840060000000000,1617840060000000000
8,c5680050-614a-4110-84df-2d89f8da3e2d,O-20210409-000000-001-140730959343968-9,BINANCE-1-9,T-2ef28b5046567a5a-496009,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,58116.80,5.81168000 USDT,USDT,TAKER,1617926460000000000,1617926460000000000
9,6b71948d-8751-499f-8f74-882cd48729e1,O-20210419-000000-001-140730959343968-10,BINANCE-1-10,T-7d19d7b10f0e7d93-544940,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,56234.79,5.62347900 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
10,fedf9fc4-d4f6-46cf-a90a-3b0f5ced3b46,O-20210501-000000-001-140730959343968-11,BINANCE-1-11,T-24b312314ce74fbb-602639,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57545.07,5.75450700 USDT,USDT,TAKER,1619827260000000000,1619827260000000000
11,7d258b06-af68-4b09-bd08-4919fa8b96f2,O-20210505-000000-001-140730959343968-12,BINANCE-1-12,T-6029e125553f948f-622154,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,53106.60,5.31066000 USDT,USDT,TAKER,1620172860000000000,1620172860000000000
12,e959df6a-6c60-46ec-915c-3de1ad41788b,O-20210506-000000-001-140730959343968-13,BINANCE-1-13,T-464dc58ac72819d1-627070,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57445.51,5.74455100 USDT,USDT,TAKER,1620259260000000000,1620259260000000000
13,ec8ab00c-2558-4f36-bbc8-6feaffb26365,O-20210513-000000-001-140730959343968-14,BINANCE-1-14,T-74bd01b7a7b95623-661814,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,49361.35,4.93613500 USDT,USDT,TAKER,1620864060000000000,1620864060000000000
14,4fcf6ad8-dade-43e2-95a2-177b3bd690a9,O-20210604-000000-001-140730959343968-15,BINANCE-1-15,T-0c91e73fcbcc0e5a-775395,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,39206.57,3.92065700 USDT,USDT,TAKER,1622764860000000000,1622764860000000000
15,4ca44692-2a48-42c1-9f8c-f3b9c9865f69,O-20210605-000000-001-140730959343968-16,BINANCE-1-16,T-8ae6ce7cac635a4b-780457,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,36866.30,3.68663000 USDT,USDT,TAKER,1622851260000000000,1622851260000000000
16,526241d7-446f-4bd8-a3ed-11d3eda9f364,O-20210610-000000-001-140730959343968-17,BINANCE-1-17,T-17f9f509a17c5e7b-805831,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,37360.82,3.73608200 USDT,USDT,TAKER,1623283260000000000,1623283260000000000
17,f5d30dce-49bc-4d20-95a8-00998062453a,O-20210613-000000-001-140730959343968-18,BINANCE-1-18,T-c43c38d2835aed5d-820954,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,35596.55,3.55965500 USDT,USDT,TAKER,1623542460000000000,1623542460000000000
18,40df1a09-a2a5-494b-999d-3adf65bb6509,O-20210614-000000-001-140730959343968-19,BINANCE-1-19,T-c198ee754c308f13-825997,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,39127.76,3.91277600 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
19,61a90b3a-a082-4e77-a89b-1e4e5449fbad,O-20210619-000000-001-140730959343968-20,BINANCE-1-20,T-c0b0bfa9cb4f2e63-850942,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,35759.99,3.57599900 USDT,USDT,TAKER,1624060860000000000,1624060860000000000
20,ce96f307-cfe9-4a76-8619-245ca5392d3c,O-20210630-000000-001-140730959343968-21,BINANCE-1-21,T-4751b249ace4af44-906977,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35924.05,3.59240500 USDT,USDT,TAKER,1625011260000000000,1625011260000000000
21,de77452c-2dec-46b9-9010-1f482e79569e,O-20210701-000000-001-140730959343968-22,BINANCE-1-22,T-adfa469d2ebddc07-911980,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,34980.46,3.49804600 USDT,USDT,TAKER,1625097660000000000,1625097660000000000
22,845be8b5-f982-443e-8d45-ab2972ca9ad3,O-20210705-000000-001-140730959343968-23,BINANCE-1-23,T-7e947ef2b4da6a48-931910,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35112.46,3.51124600 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
23,2c194e99-e20f-487e-b23d-78aa03b4fdfa,O-20210706-000000-001-140730959343968-24,BINANCE-1-24,T-d5982afe7fb53443-936884,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,33664.85,3.36648500 USDT,USDT,TAKER,1625529660000000000,1625529660000000000
24,621e7750-98cb-4fea-ae23-d715b612124a,O-20210712-000000-001-140730959343968-25,BINANCE-1-25,T-05e2f749c6e30f6f-966595,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,34230.66,3.42306600 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
25,d1d2607a-704b-42f7-877f-ad952d94a98a,O-20210713-000000-001-140730959343968-26,BINANCE-1-26,T-50bcc121244a795a-971449,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,33090.26,3.30902600 USDT,USDT,TAKER,1626134460000000000,1626134460000000000
26,e017cac6-8863-4b98-a192-4e6bedd6328f,O-20210724-000000-001-140730959343968-27,BINANCE-1-27,T-2b58871ea68333c8-1025933,BTCUSDT.BINANCE-DataActor-140730959343968,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,33685.08,3.36850800 USDT,USDT,TAKER,1627084860000000000,1627084860000000000
