fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,7f22bd29-d19b-4fc1-bd7e-49993cc7be17,O-20210203-000000-001-140727382132976-1,BINANCE-1-1,T-5987e40c0fec23ca-168815,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35481.78,3.54817800 USDT,USDT,TAKER,1612310460000000000,1612310460000000000
1,b0409556-2b82-455f-bddc-736906037fcc,O-20210226-000000-001-140727382132976-2,BINANCE-1-2,T-3eb79e284fb134e6-285615,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,46914.07,4.69140700 USDT,USDT,TAKER,1614297660000000000,1614297660000000000
2,2a7581d5-e8bb-4f33-8f16-c04bb586e377,O-20210304-000000-001-140727382132976-3,BINANCE-1-3,T-461bc445bc14828c-316598,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50112.68,5.01126800 USDT,USDT,TAKER,1614816060000000000,1614816060000000000
3,1efd30f2-1f34-488e-81db-6d1f22da308e,O-20210305-000000-001-140727382132976-4,BINANCE-1-4,T-fde6042030eef3ee-321694,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,48341.23,4.83412300 USDT,USDT,TAKER,1614902460000000000,1614902460000000000
4,412d7226-58bf-43ab-89c5-859b36d60bfa,O-20210308-000000-001-140727382132976-5,BINANCE-1-5,T-a8bbecfbcc0fb8dc-336565,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,50865.54,5.08655400 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
5,69e06329-44d0-43f2-9915-cb41f3c6f7ee,O-20210323-000000-001-140727382132976-6,BINANCE-1-6,T-eb4e7562ec9c5294-411986,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,54202.71,5.42027100 USDT,USDT,TAKER,1616457660000000000,1616457660000000000
6,a6818be3-6d18-4c25-8ef4-40471f518a01,O-20210330-000000-001-140727382132976-7,BINANCE-1-7,T-10e54d611db200b2-446890,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57638.16,5.76381600 USDT,USDT,TAKER,1617062460000000000,1617062460000000000
7,fc5371f6-abf1-421c-9815-88e130fefb50,O-20210408-000000-001-140727382132976-8,BINANCE-1-8,T-ffe92bb306950130-491088,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,55950.00,5.59500000 USDT,USDT,TAKER,1617840060000000000,1617840060000000000
8,4c355e7f-169e-4082-bba8-69620da64eef,O-20210409-000000-001-140727382132976-9,BINANCE-1-9,T-2ef28b5046567a5a-496009,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,58116.80,5.81168000 USDT,USDT,TAKER,1617926460000000000,1617926460000000000
9,5e47b78f-ce25-4af5-b74c-48901b17c998,O-20210419-000000-001-140727382132976-10,BINANCE-1-10,T-7d19d7b10f0e7d93-544940,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,56234.79,5.62347900 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
10,34f6975a-1b7f-41c8-985e-943f0bceb52a,O-20210501-000000-001-140727382132976-11,BINANCE-1-11,T-24b312314ce74fbb-602639,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57545.07,5.75450700 USDT,USDT,TAKER,1619827260000000000,1619827260000000000
11,3c731971-c14f-43f1-8929-50dd636f30c8,O-20210505-000000-001-140727382132976-12,BINANCE-1-12,T-6029e125553f948f-622154,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,53106.60,5.31066000 USDT,USDT,TAKER,1620172860000000000,1620172860000000000
12,d016342d-faa2-4f33-848d-6bf64a6c51a9,O-20210506-000000-001-140727382132976-13,BINANCE-1-13,T-464dc58ac72819d1-627070,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,57445.51,5.74455100 USDT,USDT,TAKER,1620259260000000000,1620259260000000000
13,6f566f71-2c9f-4275-9833-269fcd345e3b,O-20210513-000000-001-140727382132976-14,BINANCE-1-14,T-74bd01b7a7b95623-661814,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,49361.35,4.93613500 USDT,USDT,TAKER,1620864060000000000,1620864060000000000
14,8702e784-be09-43e2-9d18-5a85c8d04225,O-20210604-000000-001-140727382132976-15,BINANCE-1-15,T-0c91e73fcbcc0e5a-775395,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,39206.57,3.92065700 USDT,USDT,TAKER,1622764860000000000,1622764860000000000
15,f2153440-4605-4dc4-84a7-3faf1a125d03,O-20210605-000000-001-140727382132976-16,BINANCE-1-16,T-8ae6ce7cac635a4b-780457,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,36866.30,3.68663000 USDT,USDT,TAKER,1622851260000000000,1622851260000000000
16,47c5b8bc-0551-49c3-86d2-d1dfc7e17c91,O-20210610-000000-001-140727382132976-17,BINANCE-1-17,T-17f9f509a17c5e7b-805831,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,37360.82,3.73608200 USDT,USDT,TAKER,1623283260000000000,1623283260000000000
17,480a735c-7423-47d5-8018-05a7320d784d,O-20210613-000000-001-140727382132976-18,BINANCE-1-18,T-c43c38d2835aed5d-820954,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,35596.55,3.55965500 USDT,USDT,TAKER,1623542460000000000,1623542460000000000
18,6c8ff4eb-f65f-4512-bfae-4238b2273adb,O-20210614-000000-001-140727382132976-19,BINANCE-1-19,T-c198ee754c308f13-825997,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,39127.76,3.91277600 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
19,dde58fec-798c-4181-ab4e-8bea5b34a48e,O-20210619-000000-001-140727382132976-20,BINANCE-1-20,T-c0b0bfa9cb4f2e63-850942,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,35759.99,3.57599900 USDT,USDT,TAKER,1624060860000000000,1624060860000000000
20,bc5b41ce-bd1f-4acc-ab6a-12f1a4f6b1d8,O-20210630-000000-001-140727382132976-21,BINANCE-1-21,T-4751b249ace4af44-906977,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35924.05,3.59240500 USDT,USDT,TAKER,1625011260000000000,1625011260000000000
21,f2c571b7-cbd8-4e87-9f53-ee263239f2bc,O-20210701-000000-001-140727382132976-22,BINANCE-1-22,T-adfa469d2ebddc07-911980,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,34980.46,3.49804600 USDT,USDT,TAKER,1625097660000000000,1625097660000000000
22,438ab7da-db7c-48d3-bd5e-1f32a0429ec0,O-20210705-000000-001-140727382132976-23,BINANCE-1-23,T-7e947ef2b4da6a48-931910,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,35112.46,3.51124600 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
23,69278736-2652-4465-88b9-adef528aafc6,O-20210706-000000-001-140727382132976-24,BINANCE-1-24,T-d5982afe7fb53443-936884,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,33664.85,3.36648500 USDT,USDT,TAKER,1625529660000000000,1625529660000000000
24,135c35fb-167f-4995-ac57-454d7621a437,O-20210712-000000-001-140727382132976-25,BINANCE-1-25,T-05e2f749c6e30f6f-966595,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,34230.66,3.42306600 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
25,35ec25bc-ccb5-4d61-9014-f73ef4bc782d,O-20210713-000000-001-140727382132976-26,BINANCE-1-26,T-50bcc121244a795a-971449,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.100000,33090.26,3.30902600 USDT,USDT,TAKER,1626134460000000000,1626134460000000000
26,85e6c1f5-d964-4e4b-8c68-a3d6b8860a9c,O-20210724-000000-001-140727382132976-27,BINANCE-1-27,T-2b58871ea68333c8-1025933,BTCUSDT.BINANCE-DataActor-140727382132976,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.100000,33685.08,3.36850800 USDT,USDT,TAKER,1627084860000000000,1627084860000000000
