row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627084860000000000,BTCUSDT.BINANCE,LONG,0.1,0.100000,33685.08,-3.36850800 USDT
PositionOpened,0,1612310460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,1,1614297660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,2,1614816060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,3,1614902460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,4,1615161660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,5,1616457660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,6,1617062460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,7,1617840060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1617926460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,9,1618790460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,10,1619827260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,11,1620172860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,12,1620259260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,13,1620864060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,14,1622764860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,15,1622851260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,16,1623283260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,17,1623542460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,18,1623628860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,19,1624060860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,20,1625011260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,21,1625097660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,22,1625443260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,23,1625529660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,24,1626048060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
PositionClosed,25,1626134460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,26,1627084860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.1,0.1,,
