event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,MARGIN,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,MARGIN,USDT,9990.02900778,249.27480550,9740.75420228,False
2,1612166400014000000,BINANCE-001,MARGIN,USDT,9986.20336784,249.27480550,9736.92856234,True
3,1612166400014000000,BINANCE-001,MARGIN,USDT,9986.20336784,249.27480550,9736.92856234,False
4,1612195200000000000,BINANCE-001,MARGIN,USDT,9979.52522624,249.27480550,9730.25042074,True
5,1612195200000000000,BINANCE-001,MARGIN,USDT,9979.52522624,249.27480550,9730.25042074,False
6,1612224000000000000,BINANCE-001,MARGIN,USDT,9975.81109537,249.27480550,9726.53628987,True
7,1612224000000000000,BINANCE-001,MARGIN,USDT,9975.81109537,249.27480550,9726.53628987,False
8,1612252800006000000,BINANCE-001,MARGIN,USDT,9971.24359971,249.27480550,9721.96879421,True
9,1612252800006000000,BINANCE-001,MARGIN,USDT,9971.24359971,249.27480550,9721.96879421,False
10,1612281600000000000,BINANCE-001,MARGIN,USDT,9958.46347100,249.27480550,9709.18866550,True
11,1612281600000000000,BINANCE-001,MARGIN,USDT,9958.46347100,249.27480550,9709.18866550,False
12,1612310400009000000,BINANCE-001,MARGIN,USDT,9950.19971211,249.27480550,9700.92490661,True
13,1612310400009000000,BINANCE-001,MARGIN,USDT,9950.19971211,249.27480550,9700.92490661,False
14,1612339200006000000,BINANCE-001,MARGIN,USDT,9941.36045455,249.27480550,9692.08564905,True
15,1612339200006000000,BINANCE-001,MARGIN,USDT,9941.36045455,249.27480550,9692.08564905,False
16,1612368000006000000,BINANCE-001,MARGIN,USDT,9932.99974657,249.27480550,9683.72494107,True
17,1612368000006000000,BINANCE-001,MARGIN,USDT,9932.99974657,249.27480550,9683.72494107,False
18,1612396800005000000,BINANCE-001,MARGIN,USDT,9929.70601532,249.27480550,9680.43120982,True
19,1612396800005000000,BINANCE-001,MARGIN,USDT,9929.70601532,249.27480550,9680.43120982,False
20,1612425600000000000,BINANCE-001,MARGIN,USDT,9921.23734982,249.27480550,9671.96254432,True
21,1612425600000000000,BINANCE-001,MARGIN,USDT,9921.23734982,249.27480550,9671.96254432,False
22,1612454400011000000,BINANCE-001,MARGIN,USDT,9914.41371881,249.27480550,9665.13891331,True
23,1612454400011000000,BINANCE-001,MARGIN,USDT,9914.41371881,249.27480550,9665.13891331,False
24,1612483200009000000,BINANCE-001,MARGIN,USDT,9908.10744511,249.27480550,9658.83263961,True
25,1612483200009000000,BINANCE-001,MARGIN,USDT,9908.10744511,249.27480550,9658.83263961,False
