fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,a7fc31a3-b1e1-47fb-b4b3-36fee0d4564e,O-20210201-000000-001-140726876469312-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.301,33126.22000000,9.97099222 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,e44a3295-ff8a-4a96-a70c-ba45e8af7ab0,O-20210208-000000-001-140726876469312-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,ad09b0dd-3fb1-49ae-b2b5-d33cddb982bd,O-20210215-000000-001-140726876469312-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.008,48655.20000000,0.38924160 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,ea3c907f-faff-4b2d-a298-417a43f9852a,O-20210222-000000-001-140726876469312-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,57487.42000000,0.34492452 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,592090d8-ea9b-4c6d-b803-8cc158151582,O-20210301-000000-001-140726876469312-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.002,45163.35000000,0.09032670 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,4faba19e-2cfa-4028-811c-995355be03da,O-20210308-000000-001-140726876469312-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.001,50995.26000000,0.05099526 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,c6a2fca0-d55a-4c41-a9d4-e64081655138,O-20210315-000000-001-140726876469312-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,59037.11000000,0.23614844 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,36edaeaa-b563-4bbb-8f35-cc1c3a581ba0,O-20210322-000000-001-140726876469312-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.276,57415.17000000,15.84658692 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,d6cefc7e-1b7f-4377-93ba-065c1f775b52,O-20210322-000100-001-140726876469312-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.274,57449.36000000,15.74112464 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,8379ded4-fa75-4c50-9e6e-7185110e49be,O-20210329-000000-001-140726876469312-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.274,55805.09000000,15.29059466 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,b7cb2726-70bb-45b3-8a9a-ddd9180ae13e,O-20210329-000100-001-140726876469312-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.291,55857.04000000,16.25439864 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,d27053b8-a761-401e-ba0b-3b414f19bb14,O-20210405-000000-001-140726876469312-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.005,58234.60000000,0.29117300 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,b1315919-d32a-4c12-9379-0b6f5f198c3b,O-20210412-000000-001-140726876469312-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,60090.19000000,0.24036076 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,b1017655-efe0-4968-bb48-293b60d64e2a,O-20210419-000000-001-140726876469312-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.282,56140.04000000,15.83149128 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
14,63bf75ba-a59d-489e-808d-ed988c7f5794,O-20210419-000100-001-140726876469312-15,BINANCE-1-15,T-78190bb18f0ea15c-553733,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.277,56236.47000000,15.57750219 USDT,USDT,TAKER,1618790520000000000,1618790520000000000
15,e1ea4de0-91fb-48b5-94ed-26f7fe8f5f4a,O-20210426-000000-001-140726876469312-16,BINANCE-1-16,T-06eea41d47eb061b-589626,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.080,49063.93000000,3.92511440 USDT,USDT,TAKER,1619395260000000000,1619395260000000000
16,ef8a4a27-d26a-4260-8e91-dbc2e23e93c9,O-20210503-000000-001-140726876469312-17,BINANCE-1-17,T-a2573f3f94e11b73-625050,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.094,56630.34000000,5.32325196 USDT,USDT,TAKER,1620000060000000000,1620000060000000000
17,62dcb42b-c8bf-41fa-8966-4d4d120dec9d,O-20210510-000000-001-140726876469312-18,BINANCE-1-18,T-ce24f27a7af93303-660196,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.012,58292.54000000,0.69951048 USDT,USDT,TAKER,1620604860000000000,1620604860000000000
18,1487290a-c408-4dc7-83d8-6ca03fa8d573,O-20210517-000000-001-140726876469312-19,BINANCE-1-19,T-2213e5468ee6d2cb-695779,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.130,46429.27000000,6.03580510 USDT,USDT,TAKER,1621209660000000000,1621209660000000000
19,12676d61-9845-4521-a554-33c1e16903ee,O-20210524-000000-001-140726876469312-20,BINANCE-1-20,T-c3d455e8b7c4a20b-732403,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.260,34651.59000000,9.00941340 USDT,USDT,TAKER,1621814460000000000,1621814460000000000
20,56ee5c03-017b-4b34-980c-13b9ca38ce90,O-20210531-000000-001-140726876469312-21,BINANCE-1-21,T-e3cf944dd53a0b20-768687,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.035,35651.82000000,1.24781370 USDT,USDT,TAKER,1622419260000000000,1622419260000000000
21,e44d7750-88c2-4dd9-8d4f-ce3588aac80a,O-20210607-000000-001-140726876469312-22,BINANCE-1-22,T-0d30a68c30e2e9b1-804451,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,35801.72000000,0.14320688 USDT,USDT,TAKER,1623024060000000000,1623024060000000000
22,04749d4f-38d2-4f73-b2d5-2184d5f38b58,O-20210614-000000-001-140726876469312-23,BINANCE-1-23,T-c198ee754c308f13-840022,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.099,38993.66000000,3.86037234 USDT,USDT,TAKER,1623628860000000000,1623628860000000000
23,dc49bade-682f-41c2-bb09-e8f6ec6acbbf,O-20210621-000000-001-140726876469312-24,BINANCE-1-24,T-5b933fac1eb5fddd-875278,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.503,35588.65000000,17.90109095 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
24,f0d7eb78-d383-457c-935f-ded28453d12f,O-20210621-000100-001-140726876469312-25,BINANCE-1-25,T-8f8807bfe4e1d4b8-875283,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.600,35570.49000000,21.34229400 USDT,USDT,TAKER,1624233720000000000,1624233720000000000
25,2e4ed5de-4e6e-4e78-b43d-1fb0e39c6d0c,O-20210628-000000-001-140726876469312-26,BINANCE-1-26,T-102ebecf4ba529a3-910954,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.600,34687.70000000,20.81262000 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
26,a2138a72-ebfb-4085-9d55-d80eaf4dab47,O-20210628-000100-001-140726876469312-27,BINANCE-1-27,T-4808b99cf0348c4d-910958,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.601,34572.76000000,20.77822876 USDT,USDT,TAKER,1624838520000000000,1624838520000000000
27,e3fe5af7-25e4-45cc-b059-f728f0d79e65,O-20210705-000000-001-140726876469312-28,BINANCE-1-28,T-7e947ef2b4da6a48-946147,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.023,35280.17000000,0.81144391 USDT,USDT,TAKER,1625443260000000000,1625443260000000000
28,fc81839a-0317-43b1-998d-5cf074aee474,O-20210712-000000-001-140726876469312-29,BINANCE-1-29,T-05e2f749c6e30f6f-981121,BTCUSDT-PERP.BINANCE-DataActor-140726876469312,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.034,34253.80000000,1.16462920 USDT,USDT,TAKER,1626048060000000000,1626048060000000000
