adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-3.82563994 USDT,,funding_settlement:2333e9db-1413-4187-ab96-3f0974bf6176,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.67814160 USDT,,funding_settlement:a6a0f34d-daf8-4f9f-98e4-8b798b040e3f,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.71413087 USDT,,funding_settlement:4612584f-042a-473e-a484-0dd766a8c460,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.56749566 USDT,,funding_settlement:0f1bac2b-5f8d-47eb-a6da-52f3fa6f21e0,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.78012871 USDT,,funding_settlement:e85cd687-44c9-4acb-89df-c5f6e67da8c9,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.26375889 USDT,,funding_settlement:114e5ba2-7bbf-46c1-af7c-fe391b69ad36,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.83925756 USDT,,funding_settlement:e2f7ebcd-0652-45fe-a731-25ba292fdf9f,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.36070798 USDT,,funding_settlement:7cee4cb9-5439-4b00-8c61-d0c080d8f645,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.29373125 USDT,,funding_settlement:7bc487df-d595-4cd1-ac32-409cd7bce1fb,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.46866550 USDT,,funding_settlement:524b3962-66a0-4794-b51a-dd876b768351,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.82363101 USDT,,funding_settlement:a30d91fc-9b71-4b52-8fb8-9dc7c9ec4add,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.30627370 USDT,,funding_settlement:c6a1df72-b5ae-4a16-bc3c-0029d5da5cb2,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.49152014 USDT,,funding_settlement:73e19339-e107-47ee-89a4-035467f6433a,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.33959303 USDT,,funding_settlement:2560cf36-9914-44e4-bc73-85ed995ff7b1,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.01232690 USDT,,funding_settlement:acac8472-2de2-473a-bb02-7e1f066cd0eb,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-8.28072357 USDT,,funding_settlement:6faad356-2a83-4715-a2a2-bc0c0b89338e,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.59876101 USDT,,funding_settlement:ce57853a-f4c1-43b3-8f87-ec031e5bf58f,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.37704745 USDT,,funding_settlement:69d7e1cd-b07b-4e15-ba1c-8636e8a7b156,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-7.65673059 USDT,,funding_settlement:d885e4b8-5ff6-4a8b-b851-179237a8b0ba,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-12.13443490 USDT,,funding_settlement:f5b0d1cf-96e5-486d-a180-8749f430d043,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.92934494 USDT,,funding_settlement:cb117de3-2afb-48a3-8e44-7c752686eecd,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-6.75764976 USDT,,funding_settlement:fd9bea8e-db32-439e-b5ee-a97c667a814a,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-32.37012992 USDT,,funding_settlement:39f96d55-8014-4661-b61c-cc263d3899d7,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.07612202 USDT,,funding_settlement:b28919e9-8ff0-429f-8656-f43b6b26cd98,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-26.38963666 USDT,,funding_settlement:53160906-7fb3-46cd-9eab-5c74a72c5bef,1612857600006000000
FUNDING,BTCUSDT-PERP.BINANCE,-22.42783949 USDT,,funding_settlement:37da1f65-a633-4a54-831b-929e2e3bc24b,1612886400007000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.17401700 USDT,,funding_settlement:274bcf5a-cc4d-41bb-8948-c9a6be5962a8,1612915200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.30842259 USDT,,funding_settlement:866412f0-1e71-415b-aa80-cd8de1b8f296,1612944000014000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.80946665 USDT,,funding_settlement:a9633dc1-beea-4810-8927-58a663065361,1612972800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.22566868 USDT,,funding_settlement:2888ddf0-10fa-486f-a0b3-99efcc132ef7,1613001600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.04313517 USDT,,funding_settlement:e4b93955-5e7a-4a00-a1d1-3fbaa2b6bafd,1613030400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-24.86174387 USDT,,funding_settlement:3019c89d-cd6e-40a0-94b2-285518f90b40,1613059200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-18.38487935 USDT,,funding_settlement:aa278523-9168-4a45-b8cf-7fb8aebe2085,1613088000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-17.68305218 USDT,,funding_settlement:f7d9c73d-95eb-49e4-bcb9-327ee3823faa,1613116800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-14.75143901 USDT,,funding_settlement:b654430e-19f6-4b28-9656-20fc3961be5f,1613145600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.70067118 USDT,,funding_settlement:da0d70c2-f1d9-4970-9018-5cb5d6ad22d5,1613174400001000000
FUNDING,BTCUSDT-PERP.BINANCE,-19.78567633 USDT,,funding_settlement:6a2d0b7c-b4ac-40a9-b4ac-4c7ca5c11ff8,1613203200003000000
FUNDING,BTCUSDT-PERP.BINANCE,-10.63068805 USDT,,funding_settlement:08cef275-ecfa-43e6-bfd7-d2130a06cb37,1613232000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-11.92783241 USDT,,funding_settlement:ff427537-d44d-4a9a-8c8a-45dbccdf2a70,1613260800013000000
