fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,f513410d-b911-4397-b1bf-14ff6c864212,O-20210201-000000-001-140734442539920-1,BINANCE-1-1,T-0047a8d2dd768bb1-161614,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.058,33126.22000000,1.92132076 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,50500e61-99f6-445c-8e24-0f9699f271c9,O-20210208-000000-001-140734442539920-2,BINANCE-1-2,T-d1eb59afcb639be1-197329,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.004,38849.24000000,0.15539696 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,4569ea02-c0c4-4098-9087-64dc3de9c3a0,O-20210215-000000-001-140734442539920-3,BINANCE-1-3,T-c548b13be1158784-232867,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.013,48655.20000000,0.63251760 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,c554fe07-4d8f-4f0f-b735-68a9a07f96fa,O-20210222-000000-001-140734442539920-4,BINANCE-1-4,T-54ab2240262a4a50-268417,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.001,57487.44000000,0.05748744 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,ecf50b55-6fd2-4a00-90ac-13dcc4956aec,O-20210301-000000-001-140734442539920-5,BINANCE-1-5,T-ac281f247fd7fda3-304824,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,45163.37000000,0.22581685 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,5bf0adcb-f888-4dce-b043-d648f0c0130f,O-20210308-000000-001-140734442539920-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-340315,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.006,50995.26000000,0.30597156 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,09f910ea-cfc6-4f33-8ee0-70ed5d4ec74f,O-20210315-000000-001-140734442539920-7,BINANCE-1-7,T-e4039ae4ef85d929-375783,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.004,59037.13000000,0.23614852 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,e221bc63-a229-457b-aadd-f31d1a7865e7,O-20210322-000000-001-140734442539920-8,BINANCE-1-8,T-e88f57f1af27578f-411371,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.045,57415.17000000,2.58368265 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,e442676e-7808-4d70-91cd-4bfefcbf3b0e,O-20210322-000100-001-140734442539920-9,BINANCE-1-9,T-435d67b71fd0bc18-411376,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.048,57449.36000000,2.75756928 USDT,USDT,TAKER,1616371320000000000,1616371320000000000
9,e93b3e4f-ec81-401a-bccd-0ec1657cc09d,O-20210329-000000-001-140734442539920-10,BINANCE-1-10,T-3082ee7b3f2bdc71-447329,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.048,55805.09000000,2.67864432 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
10,09e5050f-4fed-4b18-b134-b97bc21443a2,O-20210329-000100-001-140734442539920-11,BINANCE-1-11,T-373fb60e95b2d048-447334,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.055,55857.04000000,3.07213720 USDT,USDT,TAKER,1616976120000000000,1616976120000000000
11,3f0c1342-f2c1-4599-908c-0755372b1b06,O-20210405-000000-001-140734442539920-12,BINANCE-1-12,T-7bab3a5fc888d8ab-483030,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.007,58234.62000000,0.40764234 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
12,296e1b75-7a51-4ddb-b635-b3ff4d692c5c,O-20210412-000000-001-140734442539920-13,BINANCE-1-13,T-8306f8f8f7e67219-518215,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,BUY,MARKET,0.005,60090.21000000,0.30045105 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
13,240ae447-25c7-4dbe-b5a5-01eaa9589fd8,O-20210419-000000-001-140734442539920-14,BINANCE-1-14,T-7d19d7b10f0e7d93-553729,BTCUSDT-PERP.BINANCE-DataActor-140734442539920,BINANCE-001,BTCUSDT-PERP.BINANCE,SELL,MARKET,0.067,56140.04000000,3.76138268 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
