adjustment_type,instrument_id,pnl_change,quantity_change,reason,ts_event
FUNDING,BTCUSDT-PERP.BINANCE,-0.73716650 USDT,,funding_settlement:e0f22740-f0c3-42af-aabb-2a6b9ac654a9,1612166400014000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.28681798 USDT,,funding_settlement:d931458d-fdeb-4bba-bbd6-6fdb2461d53f,1612195200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.71567970 USDT,,funding_settlement:b2232246-b356-414c-a3b2-7de3635d0fe3,1612224000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.88011544 USDT,,funding_settlement:13b64734-d6dd-4713-b85c-1a119862f787,1612252800006000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.46261616 USDT,,funding_settlement:fe86e74b-ab2d-4e62-a60b-78ef5291dad6,1612281600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59235221 USDT,,funding_settlement:23f0d631-8c5b-4fac-b285-7a54f2f4331c,1612310400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.70324564 USDT,,funding_settlement:93f78b7c-1e78-404a-9e6e-f2e25d482ed5,1612339200006000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.61103343 USDT,,funding_settlement:eafdc3ae-66d6-4c38-920d-cdec1dba47f4,1612368000006000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.63467247 USDT,,funding_settlement:86468412-99e2-4eb2-a189-507900afa0b3,1612396800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63183588 USDT,,funding_settlement:b1db920f-4b56-4f02-8686-542e99d11efe,1612425600000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.31485249 USDT,,funding_settlement:a9dd1bd9-7ddd-4969-9d35-e5de4a1e2c0d,1612454400011000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.21516237 USDT,,funding_settlement:f9788b57-ffb4-4efd-92f5-eb349c1c840f,1612483200009000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.63623976 USDT,,funding_settlement:3b03c3cd-cd12-4e84-b9ec-1ba7b4d152a1,1612512000004000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.18503786 USDT,,funding_settlement:fc7f880b-a92c-4cc1-a55a-0adf7f1eaa5d,1612540800000000000
FUNDING,BTCUSDT-PERP.BINANCE,-0.77313940 USDT,,funding_settlement:78dd3b98-7d7d-4a42-98e5-c42e16759c50,1612569600008000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.59562115 USDT,,funding_settlement:d44bf81c-30df-4378-a4bd-70378143701d,1612598400009000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.42766823 USDT,,funding_settlement:6faafb19-2689-4d9f-b64f-8d68ba9b44c1,1612627200000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.54109220 USDT,,funding_settlement:f562033f-a32b-40bd-954d-a6fa949cb118,1612656000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.47538330 USDT,,funding_settlement:4af1bac3-6718-45bd-95e9-06bb54459dad,1612684800005000000
FUNDING,BTCUSDT-PERP.BINANCE,-2.33819676 USDT,,funding_settlement:a62fe45e-24bc-4a87-af9d-e1058c9e45d5,1612713600001000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.33522261 USDT,,funding_settlement:80bca623-a4d2-4cac-8ad7-8705c8cf1c43,1612742400000000000
FUNDING,BTCUSDT-PERP.BINANCE,-1.22866359 USDT,,funding_settlement:777f2f3f-08d2-4e56-8d35-d0f71d35fda0,1612771200001000000
FUNDING,BTCUSDT-PERP.BINANCE,-5.88547817 USDT,,funding_settlement:f9b1541d-3fcf-457e-b046-4e6a3686655a,1612800000000000000
FUNDING,BTCUSDT-PERP.BINANCE,-3.28656764 USDT,,funding_settlement:35f13747-4e65-40e0-b9d2-54f1cd5c45b1,1612828800010000000
FUNDING,BTCUSDT-PERP.BINANCE,-4.79811576 USDT,,funding_settlement:8b06a24e-8e1e-4042-9e55-e1bfe38f2e5e,1612857600006000000
