event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,1609459200000000000,BINANCE-001,CASH,USDT,10000.00000000,0.00000000,10000.00000000,True
1,1612137660000000000,BINANCE-001,CASH,USDT,16.67452872,0.00000000,16.67452872,False
1,1612137660000000000,BINANCE-001,CASH,BTC,0.30187600,0.00000000,0.30187600,False
2,1616371260000000000,BINANCE-001,CASH,USDT,17322.85244470,0.00000000,17322.85244470,False
2,1616371260000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
3,1616976060000000000,BINANCE-001,CASH,USDT,17322.85244470,0.00000000,17322.85244470,False
3,1616976060000000000,BINANCE-001,CASH,BTC,0.00000000,0.00000000,0.00000000,False
4,1617580860000000000,BINANCE-001,CASH,USDT,3.90395286,0.00000000,3.90395286,False
4,1617580860000000000,BINANCE-001,CASH,BTC,0.29702500,0.00000000,0.29702500,False
5,1618185660000000000,BINANCE-001,CASH,USDT,36.47806073,0.00000000,36.47806073,False
5,1618185660000000000,BINANCE-001,CASH,BTC,0.29648300,0.00000000,0.29648300,False
6,1624233660000000000,BINANCE-001,CASH,USDT,21.62780813,0.00000000,21.62780813,False
6,1624233660000000000,BINANCE-001,CASH,BTC,0.29690000,0.00000000,0.29690000,False
