fill_index,event_id,client_order_id,venue_order_id,trade_id,position_id,account_id,instrument_id,order_side,order_type,last_qty,last_px,commission,currency,liquidity_side,ts_event,ts_init
0,5d79e827-94f3-4f68-8958-239d8be2071f,O-20210201-000000-001-140730056927232-1,BINANCE-1-1,T-0047a8d2dd768bb1-158616,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.058251,33037.91,1.92449130 USDT,USDT,TAKER,1612137660000000000,1612137660000000000
1,ce2abf9e-7ae7-4249-a90f-10bbc4dc58a3,O-20210208-000000-001-140730056927232-2,BINANCE-1-2,T-d1eb59afcb639be1-194432,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.003423,38828.91,0.13291136 USDT,USDT,TAKER,1612742460000000000,1612742460000000000
2,521c8c76-69a5-428e-8c00-66ea71d0870e,O-20210215-000000-001-140730056927232-3,BINANCE-1-3,T-c548b13be1158784-229448,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.012471,48626.69,0.60642345 USDT,USDT,TAKER,1613347260000000000,1613347260000000000
3,02b4c4e7-78d5-4823-9035-ddfca61e4efd,O-20210222-000000-001-140730056927232-4,BINANCE-1-4,T-54ab2240262a4a50-264746,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.000788,57462.56,0.04528050 USDT,USDT,TAKER,1613952060000000000,1613952060000000000
4,6ee6daf9-8033-49c0-b130-833e28884227,O-20210301-000000-001-140730056927232-5,BINANCE-1-5,T-ac281f247fd7fda3-301336,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005176,45260.75,0.23426964 USDT,USDT,TAKER,1614556860000000000,1614556860000000000
5,e3d61204-2712-4595-b653-c4b9013173e7,O-20210308-000000-001-140730056927232-6,BINANCE-1-6,T-a8bbecfbcc0fb8dc-336566,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.006095,50865.52,0.31002534 USDT,USDT,TAKER,1615161660000000000,1615161660000000000
6,2aed61f0-50af-43b4-80c7-2e0a87238e65,O-20210315-000000-001-140730056927232-7,BINANCE-1-7,T-e4039ae4ef85d929-371896,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.004088,59240.26,0.24217418 USDT,USDT,TAKER,1615766460000000000,1615766460000000000
7,2b498946-dc5f-4de4-a578-9d4a9ca001ea,O-20210322-000000-001-140730056927232-8,BINANCE-1-8,T-e88f57f1af27578f-406908,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.046314,57386.15,2.65778215 USDT,USDT,TAKER,1616371260000000000,1616371260000000000
8,00333c8d-9a68-47d7-8c9b-9fbc9afc7e53,O-20210329-000000-001-140730056927232-9,BINANCE-1-9,T-3082ee7b3f2bdc71-441988,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.056290,55824.60,3.14236673 USDT,USDT,TAKER,1616976060000000000,1616976060000000000
9,5bad673b-3ac3-4fb1-b00d-c9d0b729eb5c,O-20210405-000000-001-140730056927232-10,BINANCE-1-10,T-7bab3a5fc888d8ab-476349,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.007348,58249.80,0.42801953 USDT,USDT,TAKER,1617580860000000000,1617580860000000000
10,1cfb476b-6df1-4b7e-9d66-e93f5b5cbfb5,O-20210412-000000-001-140730056927232-11,BINANCE-1-11,T-8306f8f8f7e67219-510507,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.005840,60160.01,0.35133446 USDT,USDT,TAKER,1618185660000000000,1618185660000000000
11,b3c0bd23-1ee4-4392-af3b-4f7c1c2dcc61,O-20210419-000000-001-140730056927232-12,BINANCE-1-12,T-7d19d7b10f0e7d93-544942,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.069478,56234.79,3.90708074 USDT,USDT,TAKER,1618790460000000000,1618790460000000000
12,8cf81807-7094-4e08-a33f-5da70766353b,O-20210621-000000-001-140730056927232-13,BINANCE-1-13,T-5b933fac1eb5fddd-861011,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.066969,35576.54,2.38252531 USDT,USDT,TAKER,1624233660000000000,1624233660000000000
13,3260c041-1632-4f53-afad-45445086a13e,O-20210628-000000-001-140730056927232-14,BINANCE-1-14,T-102ebecf4ba529a3-896935,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,SELL,MARKET,0.066969,34579.36,2.31574516 USDT,USDT,TAKER,1624838460000000000,1624838460000000000
14,f578bf1e-f260-4f7d-a7dc-d2d92289c8c9,O-20210726-000000-001-140730056927232-15,BINANCE-1-15,T-396cf8ddf89be646-1035714,BTCUSDT.BINANCE-DataActor-140730056927232,BINANCE-001,BTCUSDT.BINANCE,BUY,MARKET,0.113826,35325.99,4.02101614 USDT,USDT,TAKER,1627257660000000000,1627257660000000000
