row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1627257660000000000,BTCUSDT.BINANCE,LONG,0.113826,0.113826,35325.990000000005,-4.02101614 USDT
PositionOpened,0,1612137660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.058251,0.058251,,
PositionChanged,1,1612742460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.054828,0.054828,,
PositionChanged,2,1613347260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.042357,0.042357,,
PositionChanged,3,1613952060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.043145,0.043145,,
PositionChanged,4,1614556860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.048321,0.048321,,
PositionChanged,5,1615161660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.042226,0.042226,,
PositionChanged,6,1615766460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.046314,0.046314,,
PositionClosed,7,1616371260000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,8,1616976060000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.056290,0.056290,,
PositionChanged,9,1617580860000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.063638,0.063638,,
PositionChanged,10,1618185660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.069478,0.069478,,
PositionClosed,11,1618790460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,12,1624233660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.066969,0.066969,,
PositionClosed,13,1624838460000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0,0,,
PositionOpened,14,1627257660000000000,BTCUSDT.BINANCE,NATIVE_EVENT_SNAPSHOT,0.113826,0.113826,,
